road	N108
km	12.987
type	RCC Girder Bridge
lrpName	LRP012i
name	SOALOK PARA RCC GIDER BRIDGE
length	14
condition	A
structureNr	101765
est cost	0
roadName	Keranirhat-Bandarban Road
chainage	12.987
width	7.2
constructionYear	1981
spans	1
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-2
lat	22.14613888888889
lon	92.17788888888889
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=101765&vRoadID=8&vSurveyYear=2004&vSubdivID=286
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=101765&vRoadID=8&vSurveyYear=2004&vSubdivID=286
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=101765&vRoadID=8&vSurveyYear=2004&vSubdivID=286
