road	N110
km	5.989
type	Box Culvert
lrpName	LRP005e
name	KALATALI BOX
length	3.2
condition	A
structureNr	105058
est cost	0
roadName	Link Road(at N1)-Cox`s Bazar (Laboni More) Road
chainage	5.989
width	10
constructionYear	1989
spans	2
zone	Chittagong
circle	Chittagong
division	Cox's Bazar
sub-division	Cox's Bazar-1
lat	21.427722222222222
lon	91.97755555555555
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=105058&vRoadID=10&vSurveyYear=2004&vSubdivID=282
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=105058&vRoadID=10&vSurveyYear=2004&vSubdivID=282
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=105058&vRoadID=10&vSurveyYear=2004&vSubdivID=282
