road	N205
km	0.022
type	Box Culvert
lrpName	LRPSa
name	CHONDRI BOX CULVERT
length	5.6
condition	A
structureNr	104088
est cost	0
roadName	Chandipool-Keean Bridge Road
chainage	0.022
width	9
constructionYear	1964
spans	1
zone	Sylhet
circle	Sylhet
division	Sylhet
sub-division	Sylhet
lat	24.86786111111111
lon	91.85725
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=104088&vRoadID=13&vSurveyYear=2004&vSubdivID=801
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=104088&vRoadID=13&vSurveyYear=2004&vSubdivID=801
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=104088&vRoadID=13&vSurveyYear=2004&vSubdivID=801
