road	N207
km	18.815
type	Box Culvert
lrpName	LRP018c
name	Mofigauj box culvert
length	1.5
condition	A
structureNr	114208
est cost	0
roadName	Mirpur-Srimongal-Moulvibazar-Sherpur Road
chainage	18.815
width	10.3
constructionYear	1973
spans	1
zone	Sylhet
circle	Moulavi Bazar
division	Moulavi Bazar
sub-division	Sreemongal
lat	24.30461111111111
lon	91.6798888888889
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=114208&vRoadID=15&vSurveyYear=2004&vSubdivID=555
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=114208&vRoadID=15&vSurveyYear=2004&vSubdivID=555
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=114208&vRoadID=15&vSurveyYear=2004&vSubdivID=555
