road	N207
km	0.471
type	RCC Bridge
lrpName	LRPSb
name	Mirpur Bridge
length	22.29
condition	B
structureNr	120993
est cost	0.016
roadName	Mirpur-Srimongal-Moulvibazar-Sherpur Road
chainage	0.471
width	
constructionYear	
spans	
zone	Sylhet
circle	Moulavi Bazar
division	Habiganj
sub-division	Shaistagonj
lat	24.297583 
lon	91.5135278 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=120993&vRoadID=15&vSurveyYear=2013&vSubdivID=552
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=120993&vRoadID=15&vSurveyYear=2013&vSubdivID=552
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=120993&vRoadID=15&vSurveyYear=2013&vSubdivID=552
