road	N4
km	68.691
type	PC Girder Bridge
lrpName	LRP068b
name	PALU BRIDGE
length	54.4
condition	A
structureNr	107048
est cost	0
roadName	Joydebpur-Tangail-Jamalpur Road
chainage	68.691
width	8
constructionYear	1980
spans	3
zone	Mymensingh
circle	Jamalpur
division	Tangail
sub-division	Tangail
lat	24.328055555555554
lon	89.92497222222222
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=107048&vRoadID=23&vSurveyYear=2004&vSubdivID=537
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=107048&vRoadID=23&vSurveyYear=2004&vSubdivID=537
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=107048&vRoadID=23&vSurveyYear=2004&vSubdivID=537
