road	N703
km	0.261
type	Box Culvert
lrpName	LRPSc
name	.
length	2.35
condition	A
structureNr	110562
est cost	0
roadName	Jhenaidah Town Old Section
chainage	0.261
width	12.2
constructionYear	1980
spans	1
zone	Khulna
circle	Jessore
division	Jhenaidah
sub-division	Jhenaidah
lat	23.543055555555558
lon	89.18805555555556
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=110562&vRoadID=52&vSurveyYear=2004&vSubdivID=326
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=110562&vRoadID=52&vSurveyYear=2004&vSubdivID=326
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=110562&vRoadID=52&vSurveyYear=2004&vSubdivID=326
