road	N711
km	0.999
type	Box Culvert
lrpName	LRPSd
name	.
length	2.3
condition	A
structureNr	110382
est cost	0
roadName	Benapole Town Old Section
chainage	0.999
width	10.6
constructionYear	2000
spans	1
zone	Khulna
circle	Jessore
division	Jessore
sub-division	Jessore-1
lat	23.039444444444445
lon	88.89055555555557
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=110382&vRoadID=60&vSurveyYear=2004&vSubdivID=323
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=110382&vRoadID=60&vSurveyYear=2004&vSubdivID=323
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=110382&vRoadID=60&vSurveyYear=2004&vSubdivID=323
