road	R114
km	45.744
type	Slab Culvert
lrpName	LRP046h
name	SHERPUR SUBMARGE
length	1
condition	A
structureNr	105319
est cost	0
roadName	Nayapur-Araihazar-Narsingdi-Raipura Road
chainage	45.744
width	4.2
constructionYear	1992
spans	1
zone	Dhaka
circle	Dhaka
division	Narsingdi
sub-division	Narsingdi
lat	23.97447222222222
lon	90.81094444444444
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=105319&vRoadID=71&vSurveyYear=2004&vSubdivID=522
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=105319&vRoadID=71&vSurveyYear=2004&vSubdivID=522
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=105319&vRoadID=71&vSurveyYear=2004&vSubdivID=522
