road	R152
km	0.131
type	RCC Girder Bridge
lrpName	LRPSa
name	HEAKO BRIDGE
length	12.5
condition	C
structureNr	107592
est cost	0.45
roadName	Heako-Ramgarh Road
chainage	0.131
width	4.2
constructionYear	1965
spans	1
zone	Chittagong
circle	Chittagong
division	Chittagong
sub-division	Sitakunda
lat	22.89286111111111
lon	91.6751388888889
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=107592&vRoadID=80&vSurveyYear=2004&vSubdivID=271
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=107592&vRoadID=80&vSurveyYear=2004&vSubdivID=271
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=107592&vRoadID=80&vSurveyYear=2004&vSubdivID=271
