road	R312
km	0.83
type	Box Culvert
lrpName	LRPSd
name	AAUALDOA BOX CULVERT(2)
length	9.5
condition	C
structureNr	101989
est cost	1.75
roadName	Rajendrapur Chourasta-Kapasia-Toke-Motkhola Road
chainage	0.83
width	8.2
constructionYear	1990
spans	3
zone	Dhaka
circle	Dhaka
division	Gazipur
sub-division	Joydepur-1
lat	24.09861111111111
lon	90.40911111111112
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=101989&vRoadID=109&vSurveyYear=2004&vSubdivID=513
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=101989&vRoadID=109&vSurveyYear=2004&vSubdivID=513
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=101989&vRoadID=109&vSurveyYear=2004&vSubdivID=513
