road	R546
km	0.768
type	Arch Masonry
lrpName	LRPSc
name	.
length	10.65
condition	D
structureNr	100082
est cost	27
roadName	Railgarte-Shantahar Road
chainage	0.768
width	5.7
constructionYear	1968
spans	2
zone	Rangpur
circle	Bogra
division	Bogra
sub-division	Bogra
lat	24.808611111111112
lon	88.98527777777778
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=100082&vRoadID=125&vSurveyYear=2004&vSubdivID=291
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=100082&vRoadID=125&vSurveyYear=2004&vSubdivID=291
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=100082&vRoadID=125&vSurveyYear=2004&vSubdivID=291
