road	Z1026
km	4.997
type	Baily with Steel Deck
lrpName	LRP004i
name	Dopachari Bridge-4
length	12.2
condition	C
structureNr	121450
est cost	0.064
roadName	Khanahat-Dopchhari-Bandarban (Dulupar) Road
chainage	4.997
width	
constructionYear	
spans	
zone	Chittagong
circle	Chittagong
division	Dohazari
sub-division	Dohazari
lat	22.2244438 
lon	92.0734438 
estimated Location	road_chainage
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=121450&vRoadID=325&vSurveyYear=2013&vSubdivID=280
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=121450&vRoadID=325&vSurveyYear=2013&vSubdivID=280
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=121450&vRoadID=325&vSurveyYear=2013&vSubdivID=280
