road	Z1070
km	2.581
type	Box Culvert
lrpName	LRP002e
name	HARILHAIN
length	3
condition	B
structureNr	111620
est cost	0.09
roadName	Patiya (Moneswartek)-Anowara (Kasturighat) Road
chainage	2.581
width	7.3
constructionYear	1998
spans	1
zone	Chittagong
circle	Chittagong
division	Dohazari
sub-division	Patiya
lat	22.29813888888889
lon	91.91591666666667
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=111620&vRoadID=320&vSurveyYear=2004&vSubdivID=281
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=111620&vRoadID=320&vSurveyYear=2004&vSubdivID=281
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=111620&vRoadID=320&vSurveyYear=2004&vSubdivID=281
