road	Z1812
km	16.783
type	Baily with Timber Deck
lrpName	LRP018m
name	Koikhonjhiri Bridge-7
length	17
condition	D
structureNr	121763
est cost	102
roadName	Chimbuk-Ruma Road
chainage	16.783
width	
constructionYear	
spans	
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-1
lat	22.05983203125
lon	92.346867284375
estimated Location	road_interpolate
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=121763&vRoadID=353&vSurveyYear=2013&vSubdivID=285
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=121763&vRoadID=353&vSurveyYear=2013&vSubdivID=285
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=121763&vRoadID=353&vSurveyYear=2013&vSubdivID=285
