road	Z2035
km	1.866
type	RCC Bridge
lrpName	LRP001k
name	ASRAPUR
length	4.7
condition	A
structureNr	113062
est cost	0
roadName	Shibpur-Daripura-Kamrabo (Belabo) Road
chainage	1.866
width	3.8
constructionYear	1990
spans	1
zone	Dhaka
circle	Dhaka
division	Narsingdi
sub-division	Shibpur
lat	24.053527777777777
lon	90.75019444444445
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=113062&vRoadID=214&vSurveyYear=2004&vSubdivID=523
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=113062&vRoadID=214&vSurveyYear=2004&vSubdivID=523
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=113062&vRoadID=214&vSurveyYear=2004&vSubdivID=523
