road	Z2041
km	2.994
type	Box Culvert
lrpName	LRP002j
name	BOX CULVERT
length	3.5
condition	A
structureNr	114706
est cost	0
roadName	Narsingdi (Jongi Shibpur)-Raipura Road
chainage	2.994
width	4
constructionYear	1996
spans	1
zone	Dhaka
circle	Dhaka
division	Narsingdi
sub-division	Shibpur
lat	24.02575
lon	90.86697222222222
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=114706&vRoadID=206&vSurveyYear=2004&vSubdivID=523
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=114706&vRoadID=206&vSurveyYear=2004&vSubdivID=523
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=114706&vRoadID=206&vSurveyYear=2004&vSubdivID=523
