road	Z3604
km	0.358
type	Slab Culvert
lrpName	LRPSb
name	KISHOREGANJ(2)
length	1
condition	A
structureNr	112734
est cost	0
roadName	Kishoreganj-Hossainpur Road
chainage	0.358
width	5.66
constructionYear	2002
spans	1
zone	Mymensingh
circle	Mymensingh
division	Kishoreganj
sub-division	Kishoreganj
lat	24.436972222222224
lon	90.77308333333333
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=112734&vRoadID=278&vSurveyYear=2004&vSubdivID=527
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=112734&vRoadID=278&vSurveyYear=2004&vSubdivID=527
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=112734&vRoadID=278&vSurveyYear=2004&vSubdivID=527
