road	Z4617
km	0.955
type	Box Culvert
lrpName	LRPsd
name	JASHARCHAR-11
length	9.6
condition	C
structureNr	114998
est cost	2.1
roadName	Sherpur (Kanashakhola)-Ashtomitala By-Pass Road
chainage	0.955
width	7.8
constructionYear	2002
spans	2
zone	Mymensingh
circle	Jamalpur
division	Sherpur
sub-division	Sherpur-1
lat	24.994861111111113
lon	90.01702777777777
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=114998&vRoadID=259&vSurveyYear=2004&vSubdivID=534
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=114998&vRoadID=259&vSurveyYear=2004&vSubdivID=534
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=114998&vRoadID=259&vSurveyYear=2004&vSubdivID=534
