road	Z5069
km	0.862
type	Box Culvert
lrpName	LRPSg
name	TURAG BILMALIA BOX CUL
length	8.2
condition	A
structureNr	107474
est cost	0
roadName	Turag-Ruhitpur-Baorvita Road
chainage	0.862
width	4.3
constructionYear	2000
spans	2
zone	Dhaka
circle	Dhaka
division	Dhaka
sub-division	Kallayanpur
lat	23.78325
lon	90.30997222222221
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=107474&vRoadID=179&vSurveyYear=2004&vSubdivID=510
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=107474&vRoadID=179&vSurveyYear=2004&vSubdivID=510
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=107474&vRoadID=179&vSurveyYear=2004&vSubdivID=510
