road	Z7045
km	13.282
type	RCC Bridge
lrpName	LRP012b
name	
length	12.7
condition	C
structureNr	119024
est cost	0.271
roadName	Terakhada-Mollahat Road
chainage	13.282
width	
constructionYear	
spans	
zone	Khulna
circle	Khulna
division	Bagerhat
sub-division	Bagerhat-2
lat	22.964200115999997
lon	89.7627996855
estimated Location	road_interpolate
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=119024&vRoadID=694&vSurveyYear=2013&vSubdivID=320
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=119024&vRoadID=694&vSurveyYear=2013&vSubdivID=320
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=119024&vRoadID=694&vSurveyYear=2013&vSubdivID=320
