road	Z7465
km	4.795
type	Slab Culvert
lrpName	LRP004c
name	.
length	1.1
condition	A
structureNr	112629
est cost	0
roadName	Sadarpur Bazar-Halsha Rail Bazar Road
chainage	4.795
width	6
constructionYear	2000
spans	1
zone	Khulna
circle	Jessore
division	Kushtia
sub-division	Kushtia
lat	23.87172222222222
lon	88.91147222222223
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=112629&vRoadID=756&vSurveyYear=2004&vSubdivID=327
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=112629&vRoadID=756&vSurveyYear=2004&vSubdivID=327
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=112629&vRoadID=756&vSurveyYear=2004&vSubdivID=327
