road	Z7703
km	0.492
type	Box Culvert
lrpName	LRPsb
name	.
length	2.43
condition	C
structureNr	108858
est cost	0.7
roadName	Bagerhat (Signboard)-Kachua Road
chainage	0.492
width	7.32
constructionYear	1994
spans	1
zone	Khulna
circle	Khulna
division	Bagerhat
sub-division	Bagerhat-1
lat	22.610000000000003
lon	89.84916666666666
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=108858&vRoadID=707&vSurveyYear=2004&vSubdivID=319
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=108858&vRoadID=707&vSurveyYear=2004&vSubdivID=319
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=108858&vRoadID=707&vSurveyYear=2004&vSubdivID=319
