road	Z8701
km	7.148
type	Truss with Steel Deck
lrpName	LRP007a
name	Nut Bridge
length	9.85
condition	C
structureNr	120882
est cost	1.11
roadName	Charkhali-Tushkhali-Mathbaria-Patharghata Road
chainage	7.148
width	
constructionYear	
spans	
zone	Barisal
circle	Barisal
division	Pirojpur
sub-division	Kawkhali
lat	22.4261938 
lon	89.9896386 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=120882&vRoadID=794&vSurveyYear=2013&vSubdivID=339
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=120882&vRoadID=794&vSurveyYear=2013&vSubdivID=339
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=120882&vRoadID=794&vSurveyYear=2013&vSubdivID=339
