road	Z8711
km	0.855
type	Baily with Steel Deck
lrpName	LRPSf
name	.
length	41
condition	A
structureNr	113284
est cost	0
roadName	Bhandaria-Banaihat Road
chainage	0.855
width	8.3
constructionYear	1990
spans	1
zone	Barisal
circle	Barisal
division	Pirojpur
sub-division	Kawkhali
lat	22.481888888888886
lon	90.05969444444445
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=113284&vRoadID=784&vSurveyYear=2004&vSubdivID=339
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=113284&vRoadID=784&vSurveyYear=2004&vSubdivID=339
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=113284&vRoadID=784&vSurveyYear=2004&vSubdivID=339
