road	Z8806
km	0.599
type	Truss with Steel Deck
lrpName	LRPSc
name	Satbariar Bridge
length	15.25
condition	C
structureNr	119210
est cost	0.032
roadName	Lebukhali-Dumki-Boga-Bauphal-Kalaiya-Dashmina-Galachipa-Amragachhia Road
chainage	0.599
width	
constructionYear	
spans	
zone	Barisal
circle	Patuakhali
division	Patuakhali
sub-division	Patuakhali
lat	22.4540278 
lon	90.3468608 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=119210&vRoadID=386&vSurveyYear=2013&vSubdivID=862
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=119210&vRoadID=386&vSurveyYear=2013&vSubdivID=862
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=119210&vRoadID=386&vSurveyYear=2013&vSubdivID=862
