road	N102
km	55.063
type	RCC Bridge
lrpName	LRP055a
name	TANTO CULVERT
length	8.7
condition	B
structureNr	101318
est cost	0.56
roadName	Comilla (Mainamati)-Brahmanbaria (Sarail) Road
chainage	55.063
width	9
constructionYear	1981
spans	1
zone	Comilla
circle	Comilla
division	Brahmanbaria
sub-division	Brahmanbaria
lat	23.829777777777778
lon	91.1551388888889
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=101318&vRoadID=2&vSurveyYear=2004&vSubdivID=540
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=101318&vRoadID=2&vSurveyYear=2004&vSubdivID=540
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=101318&vRoadID=2&vSurveyYear=2004&vSubdivID=540
