road	N102
km	59.655
type	RCC Bridge
lrpName	LRP059b
name	Akhand Bridge
length	16.38
condition	C
structureNr	119809
est cost	0.11
roadName	Comilla (Mainamati)-Brahmanbaria (Sarail) Road
chainage	59.655
width	
constructionYear	
spans	
zone	Comilla
circle	Comilla
division	Brahmanbaria
sub-division	Brahmanbaria
lat	23.8663333 
lon	91.1479997 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=119809&vRoadID=2&vSurveyYear=2013&vSubdivID=540
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=119809&vRoadID=2&vSurveyYear=2013&vSubdivID=540
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=119809&vRoadID=2&vSurveyYear=2013&vSubdivID=540
