road	N108
km	14.729
type	Box Culvert
lrpName	LRP014f
name	RAISA BOX CULVERT
length	6.6
condition	A
structureNr	101763
est cost	0
roadName	Keranirhat-Bandarban Road
chainage	14.729
width	10.4
constructionYear	1982
spans	2
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-2
lat	22.160138888888888
lon	92.17622222222222
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=101763&vRoadID=8&vSurveyYear=2004&vSubdivID=286
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=101763&vRoadID=8&vSurveyYear=2004&vSubdivID=286
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=101763&vRoadID=8&vSurveyYear=2004&vSubdivID=286
