road	N108
km	0.882
type	RCC Girder Bridge
lrpName	LRPSa
name	SOUTH KAOCHIA RCC GIDER BRIDGE
length	7.8
condition	A
structureNr	101775
est cost	0
roadName	Keranirhat-Bandarban Road
chainage	0.882
width	7.3
constructionYear	1982
spans	1
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-2
lat	22.10375
lon	92.08244444444443
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=101775&vRoadID=8&vSurveyYear=2004&vSubdivID=286
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=101775&vRoadID=8&vSurveyYear=2004&vSubdivID=286
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=101775&vRoadID=8&vSurveyYear=2004&vSubdivID=286
