road	N204
km	12.536
type	Box Culvert
lrpName	LRP014c
name	CHAKLA PUNGI
length	2.8
condition	A
structureNr	104074
est cost	0
roadName	Jagadishpur-Chunarughat-Shaistaganj (old part)
chainage	12.536
width	5.66
constructionYear	1982
spans	1
zone	Sylhet
circle	Moulavi Bazar
division	Habiganj
sub-division	Shaistagonj
lat	24.12752777777778
lon	91.4466388888889
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=104074&vRoadID=12&vSurveyYear=2004&vSubdivID=552
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=104074&vRoadID=12&vSurveyYear=2004&vSubdivID=552
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=104074&vRoadID=12&vSurveyYear=2004&vSubdivID=552
