road	N309
km	0.242
type	Box Culvert
lrpName	LRPSc
name	BDAR PUR BOX CULVERT
length	3
condition	A
structureNr	107528
est cost	0
roadName	Mymensingh Town By-Pass Road
chainage	0.242
width	12.5
constructionYear	1999
spans	1
zone	Mymensingh
circle	Mymensingh
division	Mymensingh
sub-division	Mymensingh
lat	24.738611111111112
lon	90.42325000000001
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=107528&vRoadID=22&vSurveyYear=2004&vSubdivID=530
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=107528&vRoadID=22&vSurveyYear=2004&vSubdivID=530
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=107528&vRoadID=22&vSurveyYear=2004&vSubdivID=530
