road	N5
km	0
type	PC Girder Bridge
lrpName	LRPS
name	MIRPUR BRIDGE
length	250.3
condition	C
structureNr	100276
est cost	0.95
roadName	Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road
chainage	0
width	15.2
constructionYear	1973
spans	6
zone	Dhaka
circle	Dhaka
division	Dhaka
sub-division	Kallayanpur
lat	23.78375
lon	90.33624999999999
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=100276&vRoadID=28&vSurveyYear=2004&vSubdivID=510
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=100276&vRoadID=28&vSurveyYear=2004&vSubdivID=510
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=100276&vRoadID=28&vSurveyYear=2004&vSubdivID=510
