road	N603
km	0.387
type	Box Culvert
lrpName	LRPSb
name	.
length	6.75
condition	A
structureNr	102075
est cost	0
roadName	Rajshahi Town By-Pass Road
chainage	0.387
width	11.9
constructionYear	2002
spans	1
zone	Rajshahi
circle	Rajshahi
division	Rajshahi
sub-division	Rajshahi-2
lat	24.36888888888889
lon	88.7238888888889
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=102075&vRoadID=48&vSurveyYear=2004&vSubdivID=304
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=102075&vRoadID=48&vSurveyYear=2004&vSubdivID=304
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=102075&vRoadID=48&vSurveyYear=2004&vSubdivID=304
