road	N703
km	0.508
type	RCC Girder Bridge
lrpName	LRPSd
name	Dhopa Ghata Bridge
length	132.4
condition	C
structureNr	119495
est cost	30.185
roadName	Jhenaidah Town Old Section
chainage	0.508
width	
constructionYear	
spans	
zone	Khulna
circle	Jessore
division	Jhenaidah
sub-division	Jhenaidah
lat	23.5442774 
lon	89.1846108 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=119495&vRoadID=52&vSurveyYear=2013&vSubdivID=326
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=119495&vRoadID=52&vSurveyYear=2013&vSubdivID=326
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=119495&vRoadID=52&vSurveyYear=2013&vSubdivID=326
