road	N703
km	0.814
type	Slab Culvert
lrpName	LRPSf
name	.
length	2.74
condition	C
structureNr	110580
est cost	0.22
roadName	Jhenaidah Town Old Section
chainage	0.814
width	6.55
constructionYear	1981
spans	1
zone	Khulna
circle	Jessore
division	Jhenaidah
sub-division	Jhenaidah
lat	23.54361111111111
lon	89.18361111111112
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=110580&vRoadID=52&vSurveyYear=2004&vSubdivID=326
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=110580&vRoadID=52&vSurveyYear=2004&vSubdivID=326
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=110580&vRoadID=52&vSurveyYear=2004&vSubdivID=326
