road	N803
km	0.375
type	RCC Girder Bridge
lrpName	LRPsb
name	Alipur Bridge
length	106.1
condition	A
structureNr	120736
est cost	0
roadName	Faridpur Town Old section (Alipur-Faridpur-SS Ghat) Town
chainage	0.375
width	
constructionYear	
spans	
zone	Gopalganj
circle	Faridpur
division	Faridpur
sub-division	Faridpur-1
lat	23.6027778 
lon	89.8289438 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=120736&vRoadID=62&vSurveyYear=2013&vSubdivID=340
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=120736&vRoadID=62&vSurveyYear=2013&vSubdivID=340
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=120736&vRoadID=62&vSurveyYear=2013&vSubdivID=340
