road	R203
km	59.015
type	RCC Girder Bridge
lrpName	LRP060c
name	DARIRAMPUR RCC GIDER BRIDGE
length	8
condition	C
structureNr	114107
est cost	0.2
roadName	Bhulta-Araihazar-Bancharampur-Nabinagar-Shibpur-Radhika Road
chainage	59.015
width	5
constructionYear	1980
spans	1
zone	Comilla
circle	Comilla
division	Brahmanbaria
sub-division	Bancharampur
lat	23.8435
lon	90.95525
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=114107&vRoadID=92&vSurveyYear=2004&vSubdivID=539
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=114107&vRoadID=92&vSurveyYear=2004&vSubdivID=539
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=114107&vRoadID=92&vSurveyYear=2004&vSubdivID=539
