road	R557
km	0.525
type	Box Culvert
lrpName	LRPSd
name	.
length	1.38
condition	A
structureNr	109507
est cost	0
roadName	Madhypara-Badarganj Road
chainage	0.525
width	9.65
constructionYear	2001
spans	1
zone	Rangpur
circle	Rangpur
division	Rangpur
sub-division	Rangpur-2
lat	25.56388888888889
lon	89.05666666666666
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=109507&vRoadID=132&vSurveyYear=2004&vSubdivID=288
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=109507&vRoadID=132&vSurveyYear=2004&vSubdivID=288
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=109507&vRoadID=132&vSurveyYear=2004&vSubdivID=288
