road	R558
km	0.894
type	Box Culvert
lrpName	LRPSc
name	.
length	5.06
condition	A
structureNr	109676
est cost	0
roadName	Maheshpur at R556 to Barapukuria Road
chainage	0.894
width	9.6
constructionYear	2000
spans	1
zone	Rangpur
circle	Dinajpur
division	Dinajpur
sub-division	Dinajpur
lat	25.52
lon	88.9738888888889
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=109676&vRoadID=133&vSurveyYear=2004&vSubdivID=296
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=109676&vRoadID=133&vSurveyYear=2004&vSubdivID=296
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=109676&vRoadID=133&vSurveyYear=2004&vSubdivID=296
