road	R711
km	0.857
type	RCC Girder Bridge
lrpName	LRPSa
name	.
length	4.55
condition	D
structureNr	107859
est cost	2
roadName	Rajbari (Bagmara)-Joukura Ferryghat Road
chainage	0.857
width	4.55
constructionYear	1972
spans	1
zone	Gopalganj
circle	Faridpur
division	Rajbari
sub-division	Rajbari
lat	23.761388888888888
lon	89.60527777777777
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=107859&vRoadID=146&vSurveyYear=2004&vSubdivID=588
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=107859&vRoadID=146&vSurveyYear=2004&vSubdivID=588
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=107859&vRoadID=146&vSurveyYear=2004&vSubdivID=588
