road	R820
km	1.874
type	Box Culvert
lrpName	LRP001e
name	OMRITPUR DHAKPARA
length	4.55
condition	A
structureNr	107894
est cost	1
roadName	Zinzira-Keraniganj-Nawabganj-Dohar-Srinagar Road
chainage	1.874
width	12.2
constructionYear	2002
spans	1
zone	Dhaka
circle	Dhaka
division	Dhaka
sub-division	Dhaka, Sub-division - 2
lat	23.701166666666666
lon	90.39358333333334
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=107894&vRoadID=169&vSurveyYear=2004&vSubdivID=512
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=107894&vRoadID=169&vSurveyYear=2004&vSubdivID=512
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=107894&vRoadID=169&vSurveyYear=2004&vSubdivID=512
