road	Z1132
km	0.88
type	Baily with Steel Deck
lrpName	LRPSg
name	Khursukul Bridge
length	247.4
condition	C
structureNr	120508
est cost	0.024
roadName	Khuruskul Bridge-Chowkoldandi-Eidgah Road
chainage	0.88
width	
constructionYear	
spans	
zone	Chittagong
circle	Chittagong
division	Cox's Bazar
sub-division	Cox's Bazar-1
lat	21.446305872093024
lon	91.98953522325581
estimated Location	road_interpolate
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=120508&vRoadID=334&vSurveyYear=2013&vSubdivID=282
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=120508&vRoadID=334&vSurveyYear=2013&vSubdivID=282
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=120508&vRoadID=334&vSurveyYear=2013&vSubdivID=282
