road	Z1216
km	3.58
type	RCC Girder Bridge
lrpName	LRP003d
name	Kurillah Bridge
length	19.05
condition	A
structureNr	120470
est cost	0
roadName	Sultanpur-Chinair-Akhura Road
chainage	3.58
width	
constructionYear	
spans	
zone	Comilla
circle	Comilla
division	Brahmanbaria
sub-division	Brahmanbaria
lat	23.8943608 
lon	91.1658889 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=120470&vRoadID=454&vSurveyYear=2013&vSubdivID=540
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=120470&vRoadID=454&vSurveyYear=2013&vSubdivID=540
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=120470&vRoadID=454&vSurveyYear=2013&vSubdivID=540
