road	Z1812
km	6.913
type	Baily with Timber Deck
lrpName	LRP007g
name	Dolionpara Bridge-4
length	52.29
condition	B
structureNr	121743
est cost	4.05
roadName	Chimbuk-Ruma Road
chainage	6.913
width	
constructionYear	
spans	
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-1
lat	22.083231561290322
lon	92.2803344419355
estimated Location	road_interpolate
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=121743&vRoadID=353&vSurveyYear=2013&vSubdivID=285
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=121743&vRoadID=353&vSurveyYear=2013&vSubdivID=285
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=121743&vRoadID=353&vSurveyYear=2013&vSubdivID=285
