road	Z1812
km	10.891
type	Baily with Steel Deck
lrpName	LRP012e
name	BRICK FIELD
length	60
condition	A
structureNr	103009
est cost	0
roadName	Chimbuk-Ruma Road
chainage	10.891
width	3.5
constructionYear	1985
spans	3
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-1
lat	22.066472222222224
lon	92.30547222222222
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=103009&vRoadID=353&vSurveyYear=2004&vSubdivID=285
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=103009&vRoadID=353&vSurveyYear=2004&vSubdivID=285
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=103009&vRoadID=353&vSurveyYear=2004&vSubdivID=285
