road	Z2002
km	17.625
type	Box Culvert
lrpName	LRP017i
name	VOTAR PAR BOX CULVERT
length	3
condition	A
structureNr	107220
est cost	0
roadName	Moulvibazar-Shamshernagar-Chatla Check Post Road
chainage	17.625
width	6
constructionYear	1995
spans	1
zone	Sylhet
circle	Moulavi Bazar
division	Moulavi Bazar
sub-division	Sreemongal
lat	24.394305555555555
lon	91.88816666666668
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=107220&vRoadID=440&vSurveyYear=2004&vSubdivID=555
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=107220&vRoadID=440&vSurveyYear=2004&vSubdivID=555
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=107220&vRoadID=440&vSurveyYear=2004&vSubdivID=555
