road	Z2036
km	0.83
type	Box Culvert
lrpName	LRPSc
name	Box Culvert
length	1.5
condition	A
structureNr	114631
est cost	0
roadName	Shibpur-Bannerbazar-Palas (Taltali) Road
chainage	0.83
width	6.5
constructionYear	1998
spans	1
zone	Dhaka
circle	Dhaka
division	Narsingdi
sub-division	Shibpur
lat	24.03588888888889
lon	90.72722222222222
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=114631&vRoadID=215&vSurveyYear=2004&vSubdivID=523
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=114631&vRoadID=215&vSurveyYear=2004&vSubdivID=523
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=114631&vRoadID=215&vSurveyYear=2004&vSubdivID=523
