road	Z2831
km	0.42
type	PC Girder Bridge
lrpName	LRPSe
name	Kura Setu
length	118.5
condition	B
structureNr	120844
est cost	4.013
roadName	Vadeshwar-Mirganj-Fenchuganj Road
chainage	0.42
width	
constructionYear	
spans	
zone	Sylhet
circle	Sylhet
division	Sylhet
sub-division	Golapganj
lat	24.7544722 
lon	92.0184993 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=120844&vRoadID=370&vSurveyYear=2013&vSubdivID=562
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=120844&vRoadID=370&vSurveyYear=2013&vSubdivID=562
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=120844&vRoadID=370&vSurveyYear=2013&vSubdivID=562
