road	Z4015
km	8.945
type	Baily with Steel Deck
lrpName	LRP008a
name	Sowratul Bridge
length	61.2
condition	A
structureNr	121061
est cost	0.02
roadName	Tangail-Delduar Road
chainage	8.945
width	
constructionYear	
spans	
zone	Mymensingh
circle	Jamalpur
division	Tangail
sub-division	Tangail
lat	24.1793882 
lon	89.9503056 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=121061&vRoadID=248&vSurveyYear=2013&vSubdivID=537
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=121061&vRoadID=248&vSurveyYear=2013&vSubdivID=537
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=121061&vRoadID=248&vSurveyYear=2013&vSubdivID=537
