road	Z5008
km	3.66
type	Slab Culvert
lrpName	LRP004b
name	.
length	8
condition	A
structureNr	115778
est cost	0
roadName	Birganj-Khansama-Darwani Road
chainage	3.66
width	7.6
constructionYear	1988
spans	1
zone	Rangpur
circle	Dinajpur
division	Dinajpur
sub-division	Dinajpur
lat	25.886138888888887
lon	88.67919444444445
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=115778&vRoadID=666&vSurveyYear=2006&vSubdivID=296
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=115778&vRoadID=666&vSurveyYear=2006&vSubdivID=296
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=115778&vRoadID=666&vSurveyYear=2006&vSubdivID=296
