road	Z5032
km	4.657
type	RCC Girder Bridge
lrpName	LRP004c
name	.
length	29.15
condition	D
structureNr	113158
est cost	87.45
roadName	Bogra-Sariakandi Road
chainage	4.657
width	6.6
constructionYear	1978
spans	3
zone	Rangpur
circle	Bogra
division	Bogra
sub-division	Sherpur (Bogra)
lat	24.865361111111113
lon	89.41783333333333
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=113158&vRoadID=635&vSurveyYear=2004&vSubdivID=292
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=113158&vRoadID=635&vSurveyYear=2004&vSubdivID=292
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=113158&vRoadID=635&vSurveyYear=2004&vSubdivID=292
