road	Z5032
km	0.903
type	Slab Culvert
lrpName	LRPsa
name	.
length	2
condition	B
structureNr	113146
est cost	0.006
roadName	Bogra-Sariakandi Road
chainage	0.903
width	6.8
constructionYear	1990
spans	1
zone	Rangpur
circle	Bogra
division	Bogra
sub-division	Sherpur (Bogra)
lat	24.854222222222223
lon	89.3841388888889
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=113146&vRoadID=635&vSurveyYear=2004&vSubdivID=292
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=113146&vRoadID=635&vSurveyYear=2004&vSubdivID=292
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=113146&vRoadID=635&vSurveyYear=2004&vSubdivID=292
