road	Z5503
km	21.034
type	Box Culvert
lrpName	LRP021f
name	.
length	1
condition	A
structureNr	113915
est cost	0
roadName	Joypurhat-Panchbibi-Hili Road
chainage	21.034
width	7.5
constructionYear	1992
spans	1
zone	Rangpur
circle	Bogra
division	Joypurhat
sub-division	Joypurhat
lat	25.280833333333334
lon	89.01305555555555
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=113915&vRoadID=654&vSurveyYear=2004&vSubdivID=589
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=113915&vRoadID=654&vSurveyYear=2004&vSubdivID=589
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=113915&vRoadID=654&vSurveyYear=2004&vSubdivID=589
