road	Z6851
km	0.274
type	Slab Culvert
lrpName	LRPSa
name	.
length	4.2
condition	A
structureNr	110090
est cost	0
roadName	Mohanpur-Tanor Road
chainage	0.274
width	7.28
constructionYear	1990
spans	1
zone	Rajshahi
circle	Rajshahi
division	Rajshahi
sub-division	Rajshahi-1
lat	24.546666666666667
lon	88.64416666666668
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=110090&vRoadID=530&vSurveyYear=2004&vSubdivID=302
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=110090&vRoadID=530&vSurveyYear=2004&vSubdivID=302
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=110090&vRoadID=530&vSurveyYear=2004&vSubdivID=302
