road,LRPName,length,chainage_y,lon_y,lat_y,type_y,name_y,condition
N1,LRPS,0.814,0.0,90.443333,23.7060278,Others,Start of Road  after Jatrabari Flyover infront of filling station.,
N1,LRPSa,0.008000000000000007,0.814,90.4504167,23.7029167,Culvert,Box Culvert,
N1,LRPSb,0.17800000000000005,0.822,90.4504722,23.7027778,CrossRoad,Intersection with Z1101,
N1,LRP001,1.0,1.0,90.4519722,23.7021389,KmPost,Km post missing,
N1,LRP002,0.1299999999999999,2.0,90.4605833,23.6978886,KmPost,Km post missing,
N1,LRP002a,0.8700000000000001,2.13,90.4616667,23.6973608,Culvert,Box culvert,
N1,LRP003,1.0,3.0,90.4691382,23.693833,KmPost,Km post missing,
N1,LRP004,0.17499999999999982,4.0,90.4787771,23.6936108,KmPost,Km post missing,
N1,LRP004a,0.8250000000000002,4.175,90.4805271,23.6938052,"SideRoad,Right",Road to Narayanganj(R111),
N1,LRP005,1.0,5.0,90.4884997,23.6947497,KmPost,Km post missing,
N1,LRP006,1.0,6.0,90.4981941,23.6959163,KmPost,Km post missing,
N1,LRP007,0.18100000000000005,7.0,90.50775,23.697333,KmPost,Km post missing,
N1,LRP007a,0.819,7.181,90.5092778,23.6979163,CrossRoad,"R110,Left to Demra, Right to Narayanganj",
N1,LRP008,0.010999999999999233,8.0,90.5157222,23.7020556,KmPost,Km post missing,
N1,LRP008a,0.41800000000000104,8.011,90.5157778,23.7021111,Bridge,Kachpur bridge,
N1,LRP008b,394.23,8.429,90.5188327,23.7045833,Bridge,Bridge end,A
N1,LRP009,0.2599999999999998,8.503,90.5193327,23.7050278,KmPost,"Chittagong 251 km,Comilla 84 km",
N1,LRP009a,0.7400000000000002,8.763,90.5215271,23.7060833,"SideRoad,Left",Road to Sylhet (N2),
N1,LRP010,0.1120000000000001,9.503,90.5273882,23.7025278,KmPost,Km post missing,
N1,LRP010a,8.0,9.615,90.5281938,23.7015278,Culvert,Box culvert,B
