id,road,LRPName,length,chainage,lon,lat,model_type,name,condition
0,N1,LRPS,814.0,0.0,90.443333,23.7060278,sink,Start of Road  after Jatrabari Flyover infront of filling station.,
1,N1,LRPSa,8.0,814.0,90.4504167,23.7029167,bridge,Box Culvert,C
2,N1,LRPSb,178.0,822.0,90.4504722,23.7027778,link,Intersection with Z1101,
3,N1,LRP001,1000.0,1000.0,90.4519722,23.7021389,link,Km post missing,
4,N1,LRP002,130.0,2000.0,90.4605833,23.6978886,link,Km post missing,
5,N1,LRP002a,870.0,2130.0,90.4616667,23.6973608,bridge,Box culvert,C
6,N1,LRP003,1000.0,3000.0,90.4691382,23.693833,link,Km post missing,
7,N1,LRP004,175.0,4000.0,90.4787771,23.6936108,link,Km post missing,
8,N1,LRP004a,825.0,4175.0,90.4805271,23.6938052,link,Road to Narayanganj(R111),
9,N1,LRP005,1000.0,5000.0,90.4884997,23.6947497,link,Km post missing,
10,N1,LRP006,1000.0,6000.0,90.4981941,23.6959163,link,Km post missing,
11,N1,LRP007,181.0,7000.0,90.50775,23.697333,link,Km post missing,
12,N1,LRP007a,819.0,7181.0,90.5092778,23.6979163,link,"R110,Left to Demra, Right to Narayanganj",
13,N1,LRP008,10.99999999999909,8000.0,90.5157222,23.7020556,link,Km post missing,
14,N1,LRP008a,492.0000000000009,8010.999999999999,90.5157778,23.7021111,bridge,Kachpur bridge,C
15,N1,LRP009,260.0,8503.0,90.5193327,23.7050278,link,"Chittagong 251 km,Comilla 84 km",
16,N1,LRP009a,740.0,8763.0,90.5215271,23.7060833,link,Road to Sylhet (N2),
17,N1,LRP010,112.0,9503.0,90.5273882,23.7025278,link,Km post missing,
18,N1,LRP010a,8.0,9615.0,90.5281938,23.7015278,bridge,Box culvert,B
19,N1,LRP010b,6.3,9963.0,90.5307216,23.6998608,bridge,Box culvert,A
20,N1,LRP010c,6.3,10377.0,90.5337774,23.6974163,bridge,Box culvert,A
21,N1,LRP011,382.0,10503.0,90.5348052,23.6966386,link,Km post missing,
22,N1,LRP011a,8.3,10885.0,90.5376108,23.6943608,bridge,Box culvert,A
23,N1,LRP011b,184.0,11313.0,90.5410552,23.6922774,bridge,Box culvert,C
24,N1,LRP012,248.0,11497.0,90.5426108,23.6918052,link,"Chittagong 248 km,Comilla 81 km",
25,N1,LRP012a,9.3,11745.0,90.5448886,23.6911108,bridge,Bridge start,A
26,N1,LRP012c,588.0,11936.0,90.546583,23.6904163,link,Right to Syedpur (R113) left to Joydebpur N105),
27,N1,LRP013,148.0,12524.0,90.5504167,23.6865274,link,"Ctg 247 km,Comilla 80 km",
28,N1,LRP013a,27.5,12672.0,90.5512778,23.6854997,bridge,Box culvert,A
29,N1,LRP014,1000.0,13524.0,90.5556111,23.678166,link,Km post missing,
30,N1,LRP015,39.0,14524.0,90.5597778,23.670916,link,Km post missing,
31,N1,LRP015a,961.0,14563.0,90.5599722,23.6705827,bridge,Box culvert,C
32,N1,LRP016,411.0,15524.0,90.5641111,23.6628333,link,Km post missing,
33,N1,LRP016a,5.55,15935.0,90.5671104,23.6604167,link,Road to MinanbariZ1061),B
34,N1,LRP016b,282.0,16242.0,90.5697216,23.6591111,bridge,Langalbandhu bridge,C
35,N1,LRP017,307.0,16524.0,90.5719716,23.6575,link,Km post missing,
36,N1,LRP017a,373.0,16831.0,90.5743327,23.6559722,bridge,Bridge start,C
37,N1,LRP017c,320.0,17204.0,90.5772771,23.6540556,bridge,Bridge start,C
38,N1,LRP018,339.0,17524.0,90.5798882,23.6525278,link,Km post missing,
39,N1,LRP018a,20.5,17863.0,90.5826382,23.6508889,bridge,Bridge start,A
40,N1,LRP019,354.0,18524.0,90.588083,23.6476108,link,Km post missing,
