index,id,drive_time,replication,scenario
0,Truck0,215,1,0
1,Truck1,215,1,0
2,Truck2,215,1,0
3,Truck3,215,1,0
4,Truck4,215,1,0
5,Truck5,215,1,0
6,Truck6,215,1,0
7,Truck7,215,1,0
8,Truck8,215,1,0
9,Truck9,215,1,0
10,Truck10,215,1,0
11,Truck11,215,1,0
12,Truck12,215,1,0
13,Truck13,215,1,0
14,Truck14,215,1,0
15,Truck15,215,1,0
16,Truck16,215,1,0
17,Truck17,215,1,0
18,Truck18,215,1,0
19,Truck19,215,1,0
20,Truck20,215,1,0
21,Truck21,215,1,0
22,Truck22,215,1,0
23,Truck23,215,1,0
24,Truck24,215,1,0
25,Truck25,215,1,0
26,Truck26,215,1,0
27,Truck27,215,1,0
28,Truck28,215,1,0
29,Truck29,215,1,0
30,Truck30,215,1,0
31,Truck31,215,1,0
32,Truck32,215,1,0
33,Truck33,215,1,0
34,Truck34,215,1,0
35,Truck35,215,1,0
36,Truck36,215,1,0
37,Truck37,215,1,0
38,Truck38,215,1,0
39,Truck39,215,1,0
40,Truck40,215,1,0
41,Truck41,215,1,0
42,Truck42,215,1,0
43,Truck43,215,1,0
44,Truck44,215,1,0
45,Truck45,215,1,0
46,Truck46,215,1,0
47,Truck47,215,1,0
48,Truck48,215,1,0
49,Truck49,215,1,0
50,Truck50,215,1,0
51,Truck51,215,1,0
52,Truck52,215,1,0
53,Truck53,215,1,0
54,Truck54,215,1,0
55,Truck55,215,1,0
56,Truck56,215,1,0
57,Truck57,215,1,0
58,Truck58,215,1,0
59,Truck59,215,1,0
60,Truck60,215,1,0
61,Truck61,215,1,0
62,Truck62,215,1,0
63,Truck63,215,1,0
64,Truck64,215,1,0
65,Truck65,215,1,0
66,Truck66,215,1,0
67,Truck67,215,1,0
68,Truck68,215,1,0
69,Truck69,215,1,0
70,Truck70,215,1,0
71,Truck71,215,1,0
72,Truck72,215,1,0
73,Truck73,215,1,0
74,Truck74,215,1,0
75,Truck75,215,1,0
76,Truck76,215,1,0
77,Truck77,215,1,0
78,Truck78,215,1,0
79,Truck79,215,1,0
80,Truck80,215,1,0
81,Truck81,215,1,0
82,Truck82,215,1,0
83,Truck83,215,1,0
84,Truck84,215,1,0
85,Truck85,215,1,0
86,Truck86,215,1,0
87,Truck87,215,1,0
88,Truck88,215,1,0
89,Truck89,215,1,0
