index,id,drive_time,replication,scenario
16725,Truck17281,272,1,6
16726,Truck17280,282,1,6
16727,Truck17283,282,1,6
16728,Truck17282,298,1,6
16729,Truck17287,281,1,6
16730,Truck17284,301,1,6
16731,Truck17289,280,1,6
16732,Truck17286,298,1,6
16733,Truck17285,311,1,6
16734,Truck17288,296,1,6
16735,Truck17290,290,1,6
16736,Truck17292,291,1,6
16737,Truck17291,308,1,6
16738,Truck17296,283,1,6
16739,Truck17297,279,1,6
16740,Truck17295,295,1,6
16741,Truck17293,310,1,6
16742,Truck17294,310,1,6
16743,Truck17301,282,1,6
16744,Truck17299,294,1,6
16745,Truck17300,296,1,6
16746,Truck17298,309,1,6
16747,Truck17306,273,1,6
16748,Truck17302,294,1,6
16749,Truck17303,298,1,6
16750,Truck17305,294,1,6
16751,Truck17307,294,1,6
16752,Truck17304,315,1,6
16753,Truck17309,293,1,6
16754,Truck17311,286,1,6
16755,Truck17313,279,1,6
16756,Truck17308,309,1,6
16757,Truck17312,303,1,6
16758,Truck17310,316,1,6
16759,Truck17314,297,1,6
16760,Truck17316,293,1,6
16761,Truck17318,290,1,6
16762,Truck17317,300,1,6
16763,Truck17321,282,1,6
16764,Truck17323,281,1,6
16765,Truck17315,328,1,6
16766,Truck17319,310,1,6
16767,Truck17320,305,1,6
16768,Truck17325,290,1,6
16769,Truck17322,310,1,6
16770,Truck17324,301,1,6
16771,Truck17330,288,1,6
16772,Truck17328,299,1,6
16773,Truck17331,284,1,6
16774,Truck17326,310,1,6
16775,Truck17327,309,1,6
16776,Truck17329,308,1,6
16777,Truck17338,271,1,6
16778,Truck17334,293,1,6
16779,Truck17333,304,1,6
16780,Truck17332,311,1,6
16781,Truck17335,300,1,6
16782,Truck17337,295,1,6
16783,Truck17336,308,1,6
16784,Truck17340,293,1,6
16785,Truck17343,279,1,6
16786,Truck17341,296,1,6
16787,Truck17344,284,1,6
16788,Truck17345,285,1,6
16789,Truck17339,318,1,6
16790,Truck17346,286,1,6
16791,Truck17342,319,1,6
16792,Truck17347,302,1,6
16793,Truck17350,292,1,6
16794,Truck17348,309,1,6
16795,Truck17353,300,1,6
16796,Truck17351,311,1,6
16797,Truck17354,296,1,6
16798,Truck17349,323,1,6
16799,Truck17355,295,1,6
16800,Truck17357,285,1,6
16801,Truck17352,316,1,6
16802,Truck17358,288,1,6
16803,Truck17360,282,1,6
16804,Truck17359,291,1,6
16805,Truck17363,271,1,6
16806,Truck17356,309,1,6
16807,Truck17365,287,1,6
16808,Truck17361,313,1,6
16809,Truck17367,283,1,6
16810,Truck17364,299,1,6
16811,Truck17362,312,1,6
16812,Truck17370,279,1,6
16813,Truck17371,276,1,6
16814,Truck17366,309,1,6
16815,Truck17372,280,1,6
16816,Truck17369,298,1,6
16817,Truck17368,304,1,6
16818,Truck17375,288,1,6
16819,Truck17373,301,1,6
16820,Truck17377,282,1,6
16821,Truck17374,304,1,6
16822,Truck17379,283,1,6
16823,Truck17381,280,1,6
16824,Truck17378,296,1,6
16825,Truck17380,286,1,6
16826,Truck17376,309,1,6
16827,Truck17382,290,1,6
16828,Truck17383,288,1,6
16829,Truck17384,298,1,6
16830,Truck17387,296,1,6
16831,Truck17386,303,1,6
16832,Truck17392,275,1,6
16833,Truck17390,286,1,6
16834,Truck17385,318,1,6
16835,Truck17388,308,1,6
16836,Truck17391,307,1,6
16837,Truck17395,291,1,6
16838,Truck17389,322,1,6
16839,Truck17393,305,1,6
16840,Truck17398,289,1,6
16841,Truck17394,313,1,6
16842,Truck17396,303,1,6
16843,Truck17401,286,1,6
16844,Truck17397,310,1,6
16845,Truck17402,287,1,6
16846,Truck17400,306,1,6
16847,Truck17404,294,1,6
16848,Truck17399,324,1,6
16849,Truck17406,294,1,6
16850,Truck17407,291,1,6
16851,Truck17405,302,1,6
16852,Truck17403,317,1,6
16853,Truck17413,282,1,6
16854,Truck17408,310,1,6
16855,Truck17411,299,1,6
16856,Truck17412,294,1,6
16857,Truck17410,309,1,6
16858,Truck17414,292,1,6
16859,Truck17409,321,1,6
16860,Truck17416,294,1,6
16861,Truck17415,305,1,6
16862,Truck17418,290,1,6
16863,Truck17420,281,1,6
16864,Truck17419,295,1,6
16865,Truck17422,281,1,6
16866,Truck17417,307,1,6
16867,Truck17423,278,1,6
16868,Truck17421,293,1,6
16869,Truck17424,286,1,6
16870,Truck17427,275,1,6
16871,Truck17426,299,1,6
16872,Truck17428,291,1,6
16873,Truck17429,286,1,6
16874,Truck17425,317,1,6
16875,Truck17431,290,1,6
16876,Truck17435,273,1,6
16877,Truck17434,285,1,6
16878,Truck17436,277,1,6
16879,Truck17433,295,1,6
16880,Truck17432,308,1,6
16881,Truck17430,326,1,6
16882,Truck17439,284,1,6
16883,Truck17437,298,1,6
16884,Truck17442,281,1,6
16885,Truck17438,310,1,6
16886,Truck17440,318,1,6
16887,Truck17441,318,1,6
16888,Truck17443,309,1,6
16889,Truck17445,302,1,6
16890,Truck17444,309,1,6
16891,Truck17448,290,1,6
16892,Truck17446,306,1,6
16893,Truck17452,279,1,6
16894,Truck17449,297,1,6
16895,Truck17447,310,1,6
16896,Truck17453,287,1,6
16897,Truck17450,312,1,6
16898,Truck17454,292,1,6
16899,Truck17456,282,1,6
16900,Truck17451,314,1,6
16901,Truck17455,305,1,6
16902,Truck17459,292,1,6
16903,Truck17462,281,1,6
16904,Truck17458,304,1,6
16905,Truck17457,319,1,6
16906,Truck17463,296,1,6
16907,Truck17467,282,1,6
16908,Truck17460,320,1,6
16909,Truck17464,301,1,6
16910,Truck17468,281,1,6
16911,Truck17461,324,1,6
16912,Truck17469,285,1,6
16913,Truck17465,308,1,6
16914,Truck17472,274,1,6
16915,Truck17470,290,1,6
16916,Truck17466,312,1,6
16917,Truck17473,278,1,6
16918,Truck17474,290,1,6
16919,Truck17476,282,1,6
16920,Truck17471,309,1,6
16921,Truck17478,282,1,6
16922,Truck17480,279,1,6
16923,Truck17475,307,1,6
16924,Truck17477,299,1,6
16925,Truck17479,293,1,6
16926,Truck17486,278,1,6
16927,Truck17483,299,1,6
16928,Truck17484,300,1,6
16929,Truck17481,320,1,6
16930,Truck17482,317,1,6
16931,Truck17490,278,1,6
16932,Truck17485,304,1,6
16933,Truck17491,283,1,6
16934,Truck17488,305,1,6
16935,Truck17489,304,1,6
16936,Truck17487,320,1,6
16937,Truck17493,290,1,6
16938,Truck17494,286,1,6
16939,Truck17492,307,1,6
16940,Truck17495,297,1,6
16941,Truck17496,296,1,6
16942,Truck17498,299,1,6
16943,Truck17497,308,1,6
16944,Truck17500,294,1,6
16945,Truck17499,305,1,6
16946,Truck17501,295,1,6
16947,Truck17502,296,1,6
16948,Truck17506,279,1,6
16949,Truck17505,286,1,6
16950,Truck17503,304,1,6
16951,Truck17507,290,1,6
16952,Truck17509,280,1,6
16953,Truck17504,312,1,6
16954,Truck17508,293,1,6
16955,Truck17511,279,1,6
16956,Truck17513,287,1,6
16957,Truck17510,303,1,6
16958,Truck17512,303,1,6
16959,Truck17514,303,1,6
16960,Truck17517,288,1,6
16961,Truck17518,291,1,6
16962,Truck17520,282,1,6
16963,Truck17515,309,1,6
16964,Truck17521,279,1,6
16965,Truck17519,291,1,6
16966,Truck17516,312,1,6
16967,Truck17522,287,1,6
16968,Truck17524,282,1,6
16969,Truck17526,284,1,6
16970,Truck17525,297,1,6
16971,Truck17527,288,1,6
16972,Truck17523,312,1,6
16973,Truck17531,295,1,6
16974,Truck17528,311,1,6
16975,Truck17530,305,1,6
16976,Truck17532,301,1,6
16977,Truck17529,317,1,6
16978,Truck17536,285,1,6
16979,Truck17533,306,1,6
16980,Truck17537,296,1,6
16981,Truck17540,283,1,6
16982,Truck17535,310,1,6
16983,Truck17534,316,1,6
16984,Truck17538,298,1,6
16985,Truck17541,284,1,6
16986,Truck17539,317,1,6
16987,Truck17543,302,1,6
16988,Truck17542,316,1,6
16989,Truck17545,304,1,6
16990,Truck17544,312,1,6
16991,Truck17548,293,1,6
16992,Truck17551,282,1,6
16993,Truck17552,281,1,6
16994,Truck17547,307,1,6
16995,Truck17549,299,1,6
16996,Truck17546,315,1,6
16997,Truck17554,278,1,6
16998,Truck17555,278,1,6
16999,Truck17550,311,1,6
17000,Truck17556,288,1,6
17001,Truck17553,304,1,6
17002,Truck17557,300,1,6
17003,Truck17558,297,1,6
17004,Truck17559,304,1,6
17005,Truck17560,304,1,6
17006,Truck17564,284,1,6
17007,Truck17562,302,1,6
17008,Truck17561,308,1,6
17009,Truck17566,290,1,6
17010,Truck17563,310,1,6
17011,Truck17569,280,1,6
17012,Truck17567,291,1,6
17013,Truck17565,302,1,6
17014,Truck17571,279,1,6
17015,Truck17568,301,1,6
17016,Truck17570,294,1,6
17017,Truck17572,293,1,6
17018,Truck17573,289,1,6
17019,Truck17576,283,1,6
17020,Truck17579,278,1,6
17021,Truck17574,305,1,6
17022,Truck17577,292,1,6
17023,Truck17575,307,1,6
17024,Truck17580,288,1,6
17025,Truck17578,303,1,6
17026,Truck17582,286,1,6
17027,Truck17586,278,1,6
17028,Truck17585,292,1,6
17029,Truck17587,283,1,6
17030,Truck17581,315,1,6
17031,Truck17584,317,1,6
17032,Truck17583,325,1,6
17033,Truck17588,301,1,6
17034,Truck17590,293,1,6
17035,Truck17593,282,1,6
17036,Truck17589,305,1,6
17037,Truck17591,312,1,6
17038,Truck17592,308,1,6
17039,Truck17597,284,1,6
17040,Truck17594,304,1,6
17041,Truck17595,302,1,6
17042,Truck17596,309,1,6
17043,Truck17602,281,1,6
17044,Truck17603,277,1,6
17045,Truck17605,272,1,6
17046,Truck17599,303,1,6
17047,Truck17598,312,1,6
17048,Truck17601,299,1,6
17049,Truck17600,313,1,6
17050,Truck17604,296,1,6
17051,Truck17607,287,1,6
17052,Truck17610,282,1,6
17053,Truck17608,303,1,6
17054,Truck17606,315,1,6
17055,Truck17613,283,1,6
17056,Truck17609,310,1,6
17057,Truck17612,296,1,6
17058,Truck17611,303,1,6
17059,Truck17617,281,1,6
17060,Truck17615,295,1,6
17061,Truck17614,303,1,6
17062,Truck17621,272,1,6
17063,Truck17616,307,1,6
17064,Truck17619,293,1,6
17065,Truck17618,307,1,6
17066,Truck17620,311,1,6
17067,Truck17622,307,1,6
17068,Truck17624,302,1,6
17069,Truck17625,299,1,6
17070,Truck17628,285,1,6
17071,Truck17630,278,1,6
17072,Truck17631,274,1,6
17073,Truck17623,315,1,6
17074,Truck17626,311,1,6
17075,Truck17629,301,1,6
17076,Truck17632,289,1,6
17077,Truck17633,287,1,6
17078,Truck17627,319,1,6
17079,Truck17635,306,1,6
17080,Truck17639,289,1,6
17081,Truck17634,317,1,6
17082,Truck17636,311,1,6
17083,Truck17640,291,1,6
17084,Truck17637,308,1,6
17085,Truck17646,269,1,6
17086,Truck17645,275,1,6
17087,Truck17638,314,1,6
17088,Truck17641,301,1,6
17089,Truck17644,288,1,6
17090,Truck17643,304,1,6
17091,Truck17642,315,1,6
17092,Truck17649,288,1,6
17093,Truck17647,305,1,6
17094,Truck17650,293,1,6
17095,Truck17648,310,1,6
17096,Truck17652,293,1,6
17097,Truck17651,300,1,6
17098,Truck17657,280,1,6
17099,Truck17653,303,1,6
17100,Truck17655,295,1,6
17101,Truck17656,301,1,6
17102,Truck17658,295,1,6
17103,Truck17661,283,1,6
17104,Truck17654,320,1,6
17105,Truck17663,279,1,6
17106,Truck17660,297,1,6
17107,Truck17662,295,1,6
17108,Truck17666,275,1,6
17109,Truck17659,311,1,6
17110,Truck17668,274,1,6
17111,Truck17665,291,1,6
17112,Truck17664,299,1,6
17113,Truck17670,285,1,6
17114,Truck17667,308,1,6
17115,Truck17669,305,1,6
17116,Truck17674,285,1,6
17117,Truck17671,306,1,6
17118,Truck17675,289,1,6
17119,Truck17673,300,1,6
17120,Truck17672,309,1,6
17121,Truck17676,291,1,6
17122,Truck17677,288,1,6
17123,Truck17678,296,1,6
17124,Truck17682,283,1,6
17125,Truck17680,295,1,6
17126,Truck17684,280,1,6
17127,Truck17681,296,1,6
17128,Truck17685,277,1,6
17129,Truck17679,313,1,6
17130,Truck17683,301,1,6
17131,Truck17689,276,1,6
17132,Truck17687,287,1,6
17133,Truck17686,305,1,6
17134,Truck17688,298,1,6
17135,Truck17694,270,1,6
17136,Truck17691,294,1,6
17137,Truck17697,273,1,6
17138,Truck17690,314,1,6
17139,Truck17693,300,1,6
17140,Truck17692,311,1,6
17141,Truck17696,293,1,6
17142,Truck17698,292,1,6
17143,Truck17703,268,1,6
17144,Truck17699,289,1,6
17145,Truck17695,314,1,6
17146,Truck17700,290,1,6
17147,Truck17702,280,1,6
17148,Truck17701,290,1,6
17149,Truck17706,295,1,6
17150,Truck17707,291,1,6
17151,Truck17704,313,1,6
17152,Truck17705,310,1,6
17153,Truck17709,298,1,6
17154,Truck17708,305,1,6
17155,Truck17712,291,1,6
17156,Truck17710,304,1,6
17157,Truck17714,286,1,6
17158,Truck17715,287,1,6
17159,Truck17713,301,1,6
17160,Truck17716,290,1,6
17161,Truck17711,317,1,6
17162,Truck17719,282,1,6
17163,Truck17721,278,1,6
17164,Truck17717,301,1,6
17165,Truck17718,305,1,6
17166,Truck17722,289,1,6
17167,Truck17720,318,1,6
17168,Truck17723,308,1,6
17169,Truck17727,290,1,6
17170,Truck17724,306,1,6
17171,Truck17725,302,1,6
17172,Truck17728,294,1,6
17173,Truck17730,293,1,6
17174,Truck17733,279,1,6
17175,Truck17726,315,1,6
17176,Truck17729,312,1,6
17177,Truck17736,285,1,6
17178,Truck17732,310,1,6
17179,Truck17734,300,1,6
17180,Truck17731,320,1,6
17181,Truck17738,290,1,6
17182,Truck17735,311,1,6
17183,Truck17739,300,1,6
17184,Truck17737,313,1,6
17185,Truck17740,301,1,6
17186,Truck17745,287,1,6
17187,Truck17741,310,1,6
17188,Truck17742,308,1,6
17189,Truck17743,309,1,6
17190,Truck17746,299,1,6
17191,Truck17744,312,1,6
17192,Truck17747,304,1,6
17193,Truck17748,310,1,6
17194,Truck17752,291,1,6
17195,Truck17753,290,1,6
17196,Truck17749,316,1,6
17197,Truck17751,309,1,6
17198,Truck17755,291,1,6
17199,Truck17750,320,1,6
17200,Truck17758,280,1,6
17201,Truck17754,308,1,6
17202,Truck17756,309,1,6
17203,Truck17760,295,1,6
17204,Truck17761,293,1,6
17205,Truck17757,314,1,6
17206,Truck17759,304,1,6
17207,Truck17764,285,1,6
17208,Truck17762,300,1,6
17209,Truck17769,273,1,6
17210,Truck17763,305,1,6
17211,Truck17767,286,1,6
17212,Truck17773,272,1,6
17213,Truck17765,316,1,6
17214,Truck17768,306,1,6
17215,Truck17766,317,1,6
17216,Truck17774,286,1,6
17217,Truck17771,312,1,6
17218,Truck17776,287,1,6
17219,Truck17770,321,1,6
17220,Truck17777,286,1,6
17221,Truck17772,314,1,6
17222,Truck17781,279,1,6
17223,Truck17779,293,1,6
17224,Truck17780,288,1,6
17225,Truck17775,314,1,6
17226,Truck17778,303,1,6
17227,Truck17784,284,1,6
17228,Truck17786,280,1,6
17229,Truck17783,302,1,6
17230,Truck17788,280,1,6
17231,Truck17790,277,1,6
17232,Truck17782,319,1,6
17233,Truck17785,310,1,6
17234,Truck17793,273,1,6
17235,Truck17791,288,1,6
17236,Truck17789,304,1,6
17237,Truck17794,282,1,6
17238,Truck17787,321,1,6
17239,Truck17792,300,1,6
17240,Truck17795,289,1,6
17241,Truck17798,281,1,6
17242,Truck17797,294,1,6
17243,Truck17799,289,1,6
17244,Truck17803,280,1,6
17245,Truck17796,319,1,6
17246,Truck17801,306,1,6
17247,Truck17807,278,1,6
17248,Truck17802,305,1,6
17249,Truck17800,320,1,6
17250,Truck17804,305,1,6
17251,Truck17805,316,1,6
17252,Truck17806,311,1,6
17253,Truck17812,281,1,6
17254,Truck17809,302,1,6
17255,Truck17810,297,1,6
17256,Truck17811,292,1,6
17257,Truck17814,279,1,6
17258,Truck17808,316,1,6
17259,Truck17820,263,1,6
17260,Truck17816,289,1,6
17261,Truck17813,313,1,6
17262,Truck17821,278,1,6
17263,Truck17815,311,1,6
17264,Truck17819,294,1,6
17265,Truck17818,306,1,6
17266,Truck17817,319,1,6
17267,Truck17823,299,1,6
17268,Truck17825,290,1,6
17269,Truck17826,295,1,6
17270,Truck17822,317,1,6
17271,Truck17827,295,1,6
17272,Truck17824,314,1,6
17273,Truck17830,290,1,6
17274,Truck17828,301,1,6
17275,Truck17829,297,1,6
17276,Truck17833,282,1,6
17277,Truck17834,279,1,6
17278,Truck17831,299,1,6
17279,Truck17835,288,1,6
17280,Truck17832,311,1,6
17281,Truck17839,286,1,6
17282,Truck17836,306,1,6
17283,Truck17838,303,1,6
17284,Truck17837,314,1,6
17285,Truck17843,295,1,6
17286,Truck17842,304,1,6
17287,Truck17840,321,1,6
17288,Truck17846,291,1,6
17289,Truck17841,317,1,6
17290,Truck17850,272,1,6
17291,Truck17845,301,1,6
17292,Truck17851,276,1,6
17293,Truck17847,297,1,6
17294,Truck17849,287,1,6
17295,Truck17844,314,1,6
17296,Truck17854,274,1,6
17297,Truck17853,283,1,6
17298,Truck17848,312,1,6
17299,Truck17852,293,1,6
17300,Truck17855,279,1,6
17301,Truck17858,287,1,6
17302,Truck17859,289,1,6
17303,Truck17862,279,1,6
17304,Truck17857,309,1,6
17305,Truck17863,282,1,6
17306,Truck17865,274,1,6
17307,Truck17856,321,1,6
17308,Truck17860,302,1,6
17309,Truck17864,285,1,6
17310,Truck17866,285,1,6
17311,Truck17861,317,1,6
17312,Truck17869,293,1,6
17313,Truck17868,299,1,6
17314,Truck17867,318,1,6
17315,Truck17873,297,1,6
17316,Truck17871,310,1,6
17317,Truck17877,280,1,6
17318,Truck17870,320,1,6
17319,Truck17876,292,1,6
17320,Truck17872,314,1,6
17321,Truck17874,305,1,6
17322,Truck17875,310,1,6
17323,Truck17883,280,1,6
17324,Truck17880,300,1,6
17325,Truck17878,311,1,6
17326,Truck17881,296,1,6
17327,Truck17879,309,1,6
17328,Truck17882,295,1,6
17329,Truck17885,282,1,6
17330,Truck17888,281,1,6
17331,Truck17884,302,1,6
17332,Truck17886,300,1,6
17333,Truck17887,297,1,6
17334,Truck17893,271,1,6
17335,Truck17890,294,1,6
17336,Truck17889,304,1,6
17337,Truck17891,294,1,6
17338,Truck17892,295,1,6
17339,Truck17897,274,1,6
17340,Truck17895,288,1,6
17341,Truck17896,287,1,6
17342,Truck17899,275,1,6
17343,Truck17894,307,1,6
17344,Truck17902,277,1,6
17345,Truck17903,282,1,6
17346,Truck17898,311,1,6
17347,Truck17901,299,1,6
17348,Truck17900,310,1,6
17349,Truck17906,292,1,6
17350,Truck17905,299,1,6
17351,Truck17908,285,1,6
17352,Truck17904,311,1,6
17353,Truck17907,298,1,6
17354,Truck17911,282,1,6
17355,Truck17910,288,1,6
17356,Truck17914,274,1,6
17357,Truck17913,292,1,6
17358,Truck17915,283,1,6
17359,Truck17912,302,1,6
17360,Truck17909,321,1,6
17361,Truck17917,284,1,6
17362,Truck17916,300,1,6
17363,Truck17918,296,1,6
17364,Truck17920,296,1,6
17365,Truck17924,279,1,6
17366,Truck17919,307,1,6
17367,Truck17925,286,1,6
17368,Truck17922,305,1,6
17369,Truck17923,302,1,6
17370,Truck17928,285,1,6
17371,Truck17921,323,1,6
17372,Truck17926,298,1,6
17373,Truck17927,298,1,6
17374,Truck17932,281,1,6
17375,Truck17929,304,1,6
17376,Truck17930,308,1,6
17377,Truck17933,298,1,6
17378,Truck17931,313,1,6
17379,Truck17936,290,1,6
17380,Truck17938,293,1,6
17381,Truck17934,314,1,6
17382,Truck17937,299,1,6
17383,Truck17939,291,1,6
17384,Truck17942,280,1,6
17385,Truck17935,316,1,6
17386,Truck17940,311,1,6
17387,Truck17941,306,1,6
17388,Truck17944,292,1,6
17389,Truck17950,272,1,6
17390,Truck17943,314,1,6
17391,Truck17948,297,1,6
17392,Truck17946,308,1,6
17393,Truck17945,321,1,6
17394,Truck17947,313,1,6
17395,Truck17951,295,1,6
17396,Truck17949,310,1,6
17397,Truck17955,282,1,6
17398,Truck17952,306,1,6
17399,Truck17954,297,1,6
17400,Truck17953,306,1,6
17401,Truck17958,286,1,6
17402,Truck17957,292,1,6
17403,Truck17962,272,1,6
17404,Truck17959,299,1,6
17405,Truck17965,270,1,6
17406,Truck17956,316,1,6
17407,Truck17964,278,1,6
17408,Truck17960,313,1,6
17409,Truck17961,315,1,6
17410,Truck17963,307,1,6
17411,Truck17968,304,1,6
17412,Truck17966,315,1,6
17413,Truck17971,291,1,6
17414,Truck17967,312,1,6
17415,Truck17969,306,1,6
17416,Truck17970,302,1,6
17417,Truck17972,298,1,6
17418,Truck17973,295,1,6
17419,Truck17977,280,1,6
17420,Truck17974,297,1,6
17421,Truck17981,270,1,6
17422,Truck17976,296,1,6
17423,Truck17979,284,1,6
17424,Truck17980,283,1,6
17425,Truck17975,319,1,6
17426,Truck17978,310,1,6
17427,Truck17985,286,1,6
17428,Truck17983,300,1,6
17429,Truck17982,306,1,6
17430,Truck17984,298,1,6
