index,id,drive_time,replication,scenario
0,Truck0,215,0,0
1,Truck1,215,0,0
2,Truck2,215,0,0
3,Truck3,215,0,0
4,Truck4,215,0,0
5,Truck5,215,0,0
6,Truck6,215,0,0
7,Truck7,215,0,0
8,Truck8,215,0,0
9,Truck9,215,0,0
10,Truck10,215,0,0
11,Truck11,215,0,0
12,Truck12,215,0,0
13,Truck13,215,0,0
14,Truck14,215,0,0
15,Truck15,215,0,0
16,Truck16,215,0,0
17,Truck17,215,0,0
18,Truck18,215,0,0
19,Truck19,215,0,0
20,Truck20,215,0,0
21,Truck21,215,0,0
22,Truck22,215,0,0
23,Truck23,215,0,0
24,Truck24,215,0,0
25,Truck25,215,0,0
26,Truck26,215,0,0
27,Truck27,215,0,0
28,Truck28,215,0,0
29,Truck29,215,0,0
30,Truck30,215,0,0
31,Truck31,215,0,0
32,Truck32,215,0,0
33,Truck33,215,0,0
34,Truck34,215,0,0
35,Truck35,215,0,0
36,Truck36,215,0,0
37,Truck37,215,0,0
38,Truck38,215,0,0
39,Truck39,215,0,0
40,Truck40,215,0,0
41,Truck41,215,0,0
42,Truck42,215,0,0
43,Truck43,215,0,0
44,Truck44,215,0,0
45,Truck45,215,0,0
46,Truck46,215,0,0
47,Truck47,215,0,0
48,Truck48,215,0,0
49,Truck49,215,0,0
50,Truck50,215,0,0
51,Truck51,215,0,0
52,Truck52,215,0,0
53,Truck53,215,0,0
54,Truck54,215,0,0
55,Truck55,215,0,0
56,Truck56,215,0,0
57,Truck57,215,0,0
58,Truck58,215,0,0
59,Truck59,215,0,0
60,Truck60,215,0,0
61,Truck61,215,0,0
62,Truck62,215,0,0
63,Truck63,215,0,0
64,Truck64,215,0,0
65,Truck65,215,0,0
66,Truck66,215,0,0
67,Truck67,215,0,0
68,Truck68,215,0,0
69,Truck69,215,0,0
70,Truck70,215,0,0
71,Truck71,215,0,0
72,Truck72,215,0,0
73,Truck73,215,0,0
74,Truck74,215,0,0
75,Truck75,215,0,0
76,Truck76,215,0,0
77,Truck77,215,0,0
78,Truck78,215,0,0
79,Truck79,215,0,0
80,Truck80,215,0,0
81,Truck81,215,0,0
82,Truck82,215,0,0
83,Truck83,215,0,0
84,Truck84,215,0,0
85,Truck85,215,0,0
86,Truck86,215,0,0
87,Truck87,215,0,0
88,Truck88,215,0,0
89,Truck89,215,0,0
90,Truck90,215,0,0
91,Truck91,215,0,0
92,Truck92,215,0,0
93,Truck93,215,0,0
94,Truck94,215,0,0
95,Truck95,215,0,0
96,Truck96,215,0,0
97,Truck97,215,0,0
98,Truck98,215,0,0
99,Truck99,215,0,0
100,Truck100,215,0,0
101,Truck101,215,0,0
102,Truck102,215,0,0
103,Truck103,215,0,0
104,Truck104,215,0,0
105,Truck105,215,0,0
106,Truck106,215,0,0
107,Truck107,215,0,0
108,Truck108,215,0,0
109,Truck109,215,0,0
110,Truck110,215,0,0
111,Truck111,215,0,0
112,Truck112,215,0,0
113,Truck113,215,0,0
114,Truck114,215,0,0
115,Truck115,215,0,0
116,Truck116,215,0,0
117,Truck117,215,0,0
118,Truck118,215,0,0
119,Truck119,215,0,0
120,Truck120,215,0,0
121,Truck121,215,0,0
122,Truck122,215,0,0
123,Truck123,215,0,0
124,Truck124,215,0,0
125,Truck125,215,0,0
126,Truck126,215,0,0
127,Truck127,215,0,0
128,Truck128,215,0,0
129,Truck129,215,0,0
130,Truck130,215,0,0
131,Truck131,215,0,0
132,Truck132,215,0,0
133,Truck133,215,0,0
134,Truck134,215,0,0
135,Truck135,215,0,0
136,Truck136,215,0,0
137,Truck137,215,0,0
138,Truck138,215,0,0
139,Truck139,215,0,0
140,Truck140,215,0,0
141,Truck141,215,0,0
142,Truck142,215,0,0
143,Truck143,215,0,0
144,Truck144,215,0,0
145,Truck145,215,0,0
146,Truck146,215,0,0
147,Truck147,215,0,0
148,Truck148,215,0,0
149,Truck149,215,0,0
150,Truck150,215,0,0
151,Truck151,215,0,0
152,Truck152,215,0,0
153,Truck153,215,0,0
154,Truck154,215,0,0
155,Truck155,215,0,0
156,Truck156,215,0,0
157,Truck157,215,0,0
158,Truck158,215,0,0
159,Truck159,215,0,0
160,Truck160,215,0,0
161,Truck161,215,0,0
162,Truck162,215,0,0
163,Truck163,215,0,0
164,Truck164,215,0,0
165,Truck165,215,0,0
166,Truck166,215,0,0
167,Truck167,215,0,0
168,Truck168,215,0,0
169,Truck169,215,0,0
170,Truck170,215,0,0
171,Truck171,215,0,0
172,Truck172,215,0,0
173,Truck173,215,0,0
174,Truck174,215,0,0
175,Truck175,215,0,0
176,Truck176,215,0,0
177,Truck177,215,0,0
178,Truck178,215,0,0
179,Truck179,215,0,0
180,Truck180,215,0,0
181,Truck181,215,0,0
182,Truck182,215,0,0
183,Truck183,215,0,0
184,Truck184,215,0,0
185,Truck185,215,0,0
186,Truck186,215,0,0
187,Truck187,215,0,0
188,Truck188,215,0,0
189,Truck189,215,0,0
190,Truck190,215,0,0
191,Truck191,215,0,0
192,Truck192,215,0,0
193,Truck193,215,0,0
194,Truck194,215,0,0
195,Truck195,215,0,0
196,Truck196,215,0,0
197,Truck197,215,0,0
198,Truck198,215,0,0
199,Truck199,215,0,0
200,Truck200,215,0,0
201,Truck201,215,0,0
202,Truck202,215,0,0
203,Truck203,215,0,0
204,Truck204,215,0,0
205,Truck205,215,0,0
206,Truck206,215,0,0
207,Truck207,215,0,0
208,Truck208,215,0,0
209,Truck209,215,0,0
210,Truck210,215,0,0
211,Truck211,215,0,0
212,Truck212,215,0,0
213,Truck213,215,0,0
214,Truck214,215,0,0
215,Truck215,215,0,0
216,Truck216,215,0,0
217,Truck217,215,0,0
218,Truck218,215,0,0
219,Truck219,215,0,0
220,Truck220,215,0,0
221,Truck221,215,0,0
222,Truck222,215,0,0
223,Truck223,215,0,0
224,Truck224,215,0,0
225,Truck225,215,0,0
226,Truck226,215,0,0
227,Truck227,215,0,0
228,Truck228,215,0,0
229,Truck229,215,0,0
230,Truck230,215,0,0
231,Truck231,215,0,0
232,Truck232,215,0,0
233,Truck233,215,0,0
234,Truck234,215,0,0
235,Truck235,215,0,0
236,Truck236,215,0,0
237,Truck237,215,0,0
238,Truck238,215,0,0
239,Truck239,215,0,0
240,Truck240,215,0,0
241,Truck241,215,0,0
242,Truck242,215,0,0
243,Truck243,215,0,0
244,Truck244,215,0,0
245,Truck245,215,0,0
246,Truck246,215,0,0
247,Truck247,215,0,0
248,Truck248,215,0,0
249,Truck249,215,0,0
250,Truck250,215,0,0
251,Truck251,215,0,0
252,Truck252,215,0,0
253,Truck253,215,0,0
254,Truck254,215,0,0
255,Truck255,215,0,0
256,Truck256,215,0,0
257,Truck257,215,0,0
258,Truck258,215,0,0
259,Truck259,215,0,0
260,Truck260,215,0,0
261,Truck261,215,0,0
262,Truck262,215,0,0
