,id,drive_time,exp,sce
0,Truck4320,215,2,2
1,Truck4321,215,2,2
2,Truck4322,215,2,2
3,Truck4323,215,2,2
4,Truck4324,215,2,2
5,Truck4325,215,2,2
6,Truck4326,215,2,2
7,Truck4327,215,2,2
8,Truck4328,215,2,2
9,Truck4329,215,2,2
10,Truck4330,215,2,2
11,Truck4331,215,2,2
12,Truck4332,215,2,2
13,Truck4333,215,2,2
14,Truck4334,215,2,2
15,Truck4335,215,2,2
16,Truck4336,215,2,2
17,Truck4337,215,2,2
18,Truck4338,215,2,2
19,Truck4339,215,2,2
20,Truck4340,215,2,2
21,Truck4341,215,2,2
22,Truck4342,215,2,2
23,Truck4343,215,2,2
24,Truck4344,215,2,2
25,Truck4345,215,2,2
26,Truck4346,215,2,2
27,Truck4347,215,2,2
28,Truck4348,215,2,2
29,Truck4349,215,2,2
30,Truck4350,215,2,2
31,Truck4351,215,2,2
32,Truck4352,215,2,2
33,Truck4353,215,2,2
34,Truck4354,215,2,2
35,Truck4355,215,2,2
36,Truck4356,215,2,2
37,Truck4357,215,2,2
38,Truck4358,215,2,2
39,Truck4359,215,2,2
40,Truck4360,215,2,2
41,Truck4361,215,2,2
42,Truck4362,215,2,2
43,Truck4363,215,2,2
44,Truck4364,215,2,2
45,Truck4365,215,2,2
46,Truck4366,215,2,2
47,Truck4367,215,2,2
48,Truck4368,215,2,2
49,Truck4369,215,2,2
50,Truck4370,215,2,2
51,Truck4371,215,2,2
52,Truck4372,215,2,2
53,Truck4373,215,2,2
54,Truck4374,215,2,2
55,Truck4375,215,2,2
56,Truck4376,215,2,2
57,Truck4377,215,2,2
58,Truck4378,215,2,2
59,Truck4379,215,2,2
60,Truck4380,215,2,2
61,Truck4381,215,2,2
62,Truck4382,215,2,2
63,Truck4383,215,2,2
64,Truck4384,215,2,2
65,Truck4385,215,2,2
66,Truck4386,215,2,2
67,Truck4387,215,2,2
68,Truck4388,215,2,2
69,Truck4389,215,2,2
70,Truck4390,215,2,2
71,Truck4391,215,2,2
72,Truck4392,215,2,2
73,Truck4393,215,2,2
74,Truck4394,215,2,2
75,Truck4395,215,2,2
76,Truck4396,215,2,2
77,Truck4397,215,2,2
78,Truck4398,215,2,2
79,Truck4399,215,2,2
80,Truck4400,215,2,2
81,Truck4401,215,2,2
82,Truck4402,215,2,2
83,Truck4403,215,2,2
84,Truck4404,215,2,2
85,Truck4405,215,2,2
86,Truck4406,215,2,2
87,Truck4407,215,2,2
88,Truck4408,215,2,2
89,Truck4409,215,2,2
90,Truck4410,215,2,2
91,Truck4411,215,2,2
92,Truck4412,215,2,2
93,Truck4413,215,2,2
94,Truck4414,215,2,2
95,Truck4415,215,2,2
96,Truck4416,215,2,2
97,Truck4417,215,2,2
98,Truck4418,215,2,2
99,Truck4419,215,2,2
100,Truck4420,215,2,2
101,Truck4421,215,2,2
102,Truck4422,215,2,2
103,Truck4423,215,2,2
104,Truck4424,215,2,2
105,Truck4425,215,2,2
106,Truck4426,215,2,2
107,Truck4427,215,2,2
108,Truck4428,215,2,2
109,Truck4429,215,2,2
110,Truck4430,215,2,2
111,Truck4431,215,2,2
112,Truck4432,215,2,2
113,Truck4433,215,2,2
114,Truck4434,215,2,2
115,Truck4435,215,2,2
116,Truck4436,215,2,2
117,Truck4437,215,2,2
118,Truck4438,215,2,2
119,Truck4439,215,2,2
120,Truck4440,215,2,2
121,Truck4441,215,2,2
122,Truck4442,215,2,2
123,Truck4443,215,2,2
124,Truck4444,215,2,2
125,Truck4445,215,2,2
126,Truck4446,215,2,2
127,Truck4447,215,2,2
128,Truck4448,215,2,2
129,Truck4449,215,2,2
130,Truck4450,215,2,2
131,Truck4451,215,2,2
132,Truck4452,215,2,2
133,Truck4453,215,2,2
134,Truck4454,215,2,2
135,Truck4455,215,2,2
136,Truck4456,215,2,2
137,Truck4457,215,2,2
138,Truck4458,215,2,2
139,Truck4459,215,2,2
140,Truck4460,215,2,2
141,Truck4461,215,2,2
142,Truck4462,215,2,2
143,Truck4463,215,2,2
144,Truck4464,215,2,2
145,Truck4465,215,2,2
146,Truck4466,215,2,2
147,Truck4467,215,2,2
148,Truck4468,215,2,2
149,Truck4469,215,2,2
150,Truck4470,215,2,2
151,Truck4471,215,2,2
152,Truck4472,215,2,2
153,Truck4473,215,2,2
154,Truck4474,215,2,2
155,Truck4475,215,2,2
156,Truck4476,215,2,2
157,Truck4477,215,2,2
158,Truck4478,215,2,2
159,Truck4479,215,2,2
160,Truck4480,215,2,2
161,Truck4481,215,2,2
162,Truck4482,215,2,2
163,Truck4483,215,2,2
164,Truck4484,215,2,2
165,Truck4485,215,2,2
166,Truck4486,215,2,2
167,Truck4487,215,2,2
168,Truck4488,215,2,2
169,Truck4489,215,2,2
170,Truck4490,215,2,2
171,Truck4491,215,2,2
172,Truck4492,215,2,2
173,Truck4493,215,2,2
174,Truck4494,215,2,2
175,Truck4495,215,2,2
176,Truck4496,215,2,2
177,Truck4497,215,2,2
178,Truck4498,215,2,2
179,Truck4499,215,2,2
180,Truck4500,215,2,2
181,Truck4501,215,2,2
182,Truck4502,215,2,2
183,Truck4503,215,2,2
184,Truck4504,215,2,2
185,Truck4505,215,2,2
186,Truck4506,215,2,2
187,Truck4507,215,2,2
188,Truck4508,215,2,2
189,Truck4509,215,2,2
190,Truck4510,215,2,2
191,Truck4511,215,2,2
192,Truck4512,215,2,2
193,Truck4513,215,2,2
194,Truck4514,215,2,2
195,Truck4515,215,2,2
196,Truck4516,215,2,2
197,Truck4517,215,2,2
198,Truck4518,215,2,2
199,Truck4519,215,2,2
200,Truck4520,215,2,2
201,Truck4521,215,2,2
202,Truck4522,215,2,2
203,Truck4523,215,2,2
204,Truck4524,215,2,2
205,Truck4525,215,2,2
206,Truck4526,215,2,2
207,Truck4527,215,2,2
208,Truck4528,215,2,2
209,Truck4529,215,2,2
210,Truck4530,215,2,2
211,Truck4531,215,2,2
212,Truck4532,215,2,2
213,Truck4533,215,2,2
214,Truck4534,215,2,2
215,Truck4535,215,2,2
216,Truck4536,215,2,2
217,Truck4537,215,2,2
218,Truck4538,215,2,2
219,Truck4539,215,2,2
220,Truck4540,215,2,2
221,Truck4541,215,2,2
222,Truck4542,215,2,2
223,Truck4543,215,2,2
224,Truck4544,215,2,2
225,Truck4545,215,2,2
226,Truck4546,215,2,2
227,Truck4547,215,2,2
228,Truck4548,215,2,2
229,Truck4549,215,2,2
230,Truck4550,215,2,2
231,Truck4551,215,2,2
232,Truck4552,215,2,2
233,Truck4553,215,2,2
234,Truck4554,215,2,2
235,Truck4555,215,2,2
236,Truck4556,215,2,2
237,Truck4557,215,2,2
238,Truck4558,215,2,2
239,Truck4559,215,2,2
240,Truck4560,215,2,2
241,Truck4561,215,2,2
242,Truck4562,215,2,2
243,Truck4563,215,2,2
244,Truck4564,215,2,2
245,Truck4565,215,2,2
246,Truck4566,215,2,2
247,Truck4567,215,2,2
248,Truck4568,215,2,2
249,Truck4569,215,2,2
250,Truck4570,215,2,2
251,Truck4571,215,2,2
252,Truck4572,215,2,2
253,Truck4573,215,2,2
254,Truck4574,215,2,2
255,Truck4575,215,2,2
256,Truck4576,215,2,2
257,Truck4577,215,2,2
258,Truck4578,215,2,2
259,Truck4579,215,2,2
260,Truck4580,215,2,2
261,Truck4581,215,2,2
262,Truck4582,215,2,2
263,Truck4583,215,2,2
264,Truck4584,215,2,2
265,Truck4585,215,2,2
266,Truck4586,215,2,2
267,Truck4587,215,2,2
268,Truck4588,215,2,2
269,Truck4589,215,2,2
270,Truck4590,215,2,2
271,Truck4591,215,2,2
272,Truck4592,215,2,2
273,Truck4593,215,2,2
274,Truck4594,215,2,2
275,Truck4595,215,2,2
276,Truck4596,215,2,2
277,Truck4597,215,2,2
278,Truck4598,215,2,2
279,Truck4599,215,2,2
280,Truck4600,215,2,2
281,Truck4601,215,2,2
282,Truck4602,215,2,2
283,Truck4603,215,2,2
284,Truck4604,215,2,2
285,Truck4605,215,2,2
286,Truck4606,215,2,2
287,Truck4607,215,2,2
288,Truck4608,215,2,2
289,Truck4609,215,2,2
290,Truck4610,215,2,2
291,Truck4611,215,2,2
292,Truck4612,215,2,2
293,Truck4613,215,2,2
294,Truck4614,215,2,2
295,Truck4615,215,2,2
296,Truck4616,215,2,2
297,Truck4617,215,2,2
298,Truck4618,215,2,2
299,Truck4619,215,2,2
300,Truck4620,215,2,2
301,Truck4621,215,2,2
302,Truck4622,215,2,2
303,Truck4623,215,2,2
304,Truck4624,215,2,2
305,Truck4625,215,2,2
306,Truck4626,215,2,2
307,Truck4627,215,2,2
308,Truck4628,215,2,2
309,Truck4629,215,2,2
310,Truck4630,215,2,2
311,Truck4631,215,2,2
312,Truck4632,215,2,2
313,Truck4633,215,2,2
314,Truck4634,215,2,2
315,Truck4635,215,2,2
316,Truck4636,215,2,2
317,Truck4637,215,2,2
318,Truck4638,215,2,2
319,Truck4639,215,2,2
320,Truck4640,215,2,2
321,Truck4641,215,2,2
322,Truck4642,215,2,2
323,Truck4643,215,2,2
324,Truck4644,215,2,2
325,Truck4645,215,2,2
326,Truck4646,215,2,2
327,Truck4647,215,2,2
328,Truck4648,215,2,2
329,Truck4649,215,2,2
330,Truck4650,215,2,2
331,Truck4651,215,2,2
332,Truck4652,215,2,2
333,Truck4653,215,2,2
334,Truck4654,215,2,2
335,Truck4655,215,2,2
336,Truck4656,215,2,2
337,Truck4657,215,2,2
338,Truck4658,215,2,2
339,Truck4659,215,2,2
340,Truck4660,215,2,2
341,Truck4661,215,2,2
342,Truck4662,215,2,2
343,Truck4663,215,2,2
344,Truck4664,215,2,2
345,Truck4665,215,2,2
346,Truck4666,215,2,2
347,Truck4667,215,2,2
348,Truck4668,215,2,2
349,Truck4669,215,2,2
350,Truck4670,215,2,2
351,Truck4671,215,2,2
352,Truck4672,215,2,2
353,Truck4673,215,2,2
354,Truck4674,215,2,2
355,Truck4675,215,2,2
356,Truck4676,215,2,2
357,Truck4677,215,2,2
358,Truck4678,215,2,2
359,Truck4679,215,2,2
360,Truck4680,215,2,2
361,Truck4681,215,2,2
362,Truck4682,215,2,2
363,Truck4683,215,2,2
364,Truck4684,215,2,2
365,Truck4685,215,2,2
366,Truck4686,215,2,2
367,Truck4687,215,2,2
368,Truck4688,215,2,2
369,Truck4689,215,2,2
370,Truck4690,215,2,2
371,Truck4691,215,2,2
372,Truck4692,215,2,2
373,Truck4693,215,2,2
374,Truck4694,215,2,2
375,Truck4695,215,2,2
376,Truck4696,215,2,2
377,Truck4697,215,2,2
378,Truck4698,215,2,2
379,Truck4699,215,2,2
380,Truck4700,215,2,2
381,Truck4701,215,2,2
382,Truck4702,215,2,2
383,Truck4703,215,2,2
384,Truck4704,215,2,2
385,Truck4705,215,2,2
386,Truck4706,215,2,2
387,Truck4707,215,2,2
388,Truck4708,215,2,2
389,Truck4709,215,2,2
390,Truck4710,215,2,2
391,Truck4711,215,2,2
392,Truck4712,215,2,2
393,Truck4713,215,2,2
394,Truck4714,215,2,2
395,Truck4715,215,2,2
396,Truck4716,215,2,2
397,Truck4717,215,2,2
398,Truck4718,215,2,2
399,Truck4719,215,2,2
400,Truck4720,215,2,2
401,Truck4721,215,2,2
402,Truck4722,215,2,2
403,Truck4723,215,2,2
404,Truck4724,215,2,2
405,Truck4725,215,2,2
406,Truck4726,215,2,2
407,Truck4727,215,2,2
408,Truck4728,215,2,2
409,Truck4729,215,2,2
410,Truck4730,215,2,2
411,Truck4731,215,2,2
412,Truck4732,215,2,2
413,Truck4733,215,2,2
414,Truck4734,215,2,2
415,Truck4735,215,2,2
416,Truck4736,215,2,2
417,Truck4737,215,2,2
418,Truck4738,215,2,2
419,Truck4739,215,2,2
420,Truck4740,215,2,2
421,Truck4741,215,2,2
422,Truck4742,215,2,2
423,Truck4743,215,2,2
424,Truck4744,215,2,2
425,Truck4745,215,2,2
426,Truck4746,215,2,2
427,Truck4747,215,2,2
428,Truck4748,215,2,2
429,Truck4749,215,2,2
430,Truck4750,215,2,2
431,Truck4751,215,2,2
432,Truck4752,215,2,2
433,Truck4753,215,2,2
434,Truck4754,215,2,2
435,Truck4755,215,2,2
436,Truck4756,215,2,2
437,Truck4757,215,2,2
438,Truck4758,215,2,2
439,Truck4759,215,2,2
