index,id,drive_time,replication,scenario
0,Truck86400,262,1,6
1,Truck86401,262,1,6
2,Truck86402,269,1,6
3,Truck86404,269,1,6
4,Truck86403,275,1,6
5,Truck86405,279,1,6
6,Truck86410,259,1,6
7,Truck86406,280,1,6
8,Truck86407,278,1,6
9,Truck86411,260,1,6
10,Truck86409,278,1,6
11,Truck86415,249,1,6
12,Truck86408,286,1,6
13,Truck86412,269,1,6
14,Truck86417,255,1,6
15,Truck86416,261,1,6
16,Truck86418,253,1,6
17,Truck86413,282,1,6
18,Truck86414,281,1,6
19,Truck86419,259,1,6
20,Truck86420,259,1,6
21,Truck86423,252,1,6
22,Truck86422,260,1,6
23,Truck86427,246,1,6
24,Truck86424,264,1,6
25,Truck86421,282,1,6
26,Truck86430,248,1,6
27,Truck86425,280,1,6
28,Truck86426,277,1,6
29,Truck86431,256,1,6
30,Truck86433,246,1,6
31,Truck86429,270,1,6
32,Truck86428,284,1,6
33,Truck86435,255,1,6
34,Truck86434,263,1,6
35,Truck86432,282,1,6
36,Truck86437,257,1,6
37,Truck86440,252,1,6
38,Truck86438,264,1,6
39,Truck86436,279,1,6
40,Truck86442,251,1,6
41,Truck86443,252,1,6
42,Truck86441,271,1,6
43,Truck86439,285,1,6
44,Truck86444,271,1,6
45,Truck86450,262,1,6
46,Truck86446,284,1,6
47,Truck86445,290,1,6
48,Truck86448,276,1,6
49,Truck86451,263,1,6
50,Truck86447,285,1,6
51,Truck86449,277,1,6
52,Truck86453,266,1,6
53,Truck86452,272,1,6
54,Truck86456,253,1,6
55,Truck86454,264,1,6
56,Truck86455,260,1,6
57,Truck86459,243,1,6
58,Truck86458,257,1,6
59,Truck86457,271,1,6
60,Truck86461,269,1,6
61,Truck86460,275,1,6
62,Truck86465,254,1,6
63,Truck86462,273,1,6
64,Truck86463,272,1,6
65,Truck86466,258,1,6
66,Truck86468,249,1,6
67,Truck86464,282,1,6
68,Truck86467,268,1,6
69,Truck86472,243,1,6
70,Truck86470,257,1,6
71,Truck86469,280,1,6
72,Truck86474,261,1,6
73,Truck86471,284,1,6
74,Truck86473,274,1,6
75,Truck86478,257,1,6
76,Truck86479,253,1,6
77,Truck86476,272,1,6
78,Truck86477,271,1,6
79,Truck86475,286,1,6
80,Truck86482,255,1,6
81,Truck86483,252,1,6
82,Truck86480,269,1,6
83,Truck86481,276,1,6
84,Truck86487,254,1,6
85,Truck86484,286,1,6
86,Truck86485,284,1,6
87,Truck86488,273,1,6
88,Truck86486,286,1,6
89,Truck86489,274,1,6
90,Truck86495,246,1,6
91,Truck86493,257,1,6
92,Truck86490,273,1,6
93,Truck86492,267,1,6
94,Truck86498,247,1,6
95,Truck86496,261,1,6
96,Truck86491,292,1,6
97,Truck86494,280,1,6
98,Truck86497,268,1,6
99,Truck86501,251,1,6
100,Truck86502,253,1,6
101,Truck86499,273,1,6
102,Truck86508,242,1,6
103,Truck86500,287,1,6
104,Truck86503,275,1,6
105,Truck86504,270,1,6
106,Truck86505,277,1,6
107,Truck86506,276,1,6
108,Truck86512,248,1,6
109,Truck86509,265,1,6
110,Truck86507,276,1,6
111,Truck86510,271,1,6
112,Truck86517,248,1,6
113,Truck86513,269,1,6
114,Truck86515,259,1,6
115,Truck86511,287,1,6
116,Truck86514,279,1,6
117,Truck86516,269,1,6
118,Truck86520,249,1,6
119,Truck86519,257,1,6
120,Truck86518,269,1,6
121,Truck86522,261,1,6
122,Truck86525,247,1,6
123,Truck86527,254,1,6
124,Truck86523,275,1,6
125,Truck86521,288,1,6
126,Truck86528,254,1,6
127,Truck86524,275,1,6
128,Truck86529,251,1,6
129,Truck86530,251,1,6
130,Truck86526,281,1,6
131,Truck86534,257,1,6
132,Truck86533,267,1,6
133,Truck86532,277,1,6
134,Truck86531,290,1,6
135,Truck86540,245,1,6
136,Truck86537,261,1,6
137,Truck86535,275,1,6
138,Truck86536,271,1,6
139,Truck86543,243,1,6
140,Truck86539,270,1,6
141,Truck86542,257,1,6
142,Truck86538,282,1,6
143,Truck86544,260,1,6
144,Truck86541,280,1,6
145,Truck86545,276,1,6
146,Truck86550,255,1,6
147,Truck86549,263,1,6
148,Truck86546,279,1,6
149,Truck86551,262,1,6
150,Truck86552,260,1,6
151,Truck86547,290,1,6
152,Truck86553,260,1,6
153,Truck86548,288,1,6
154,Truck86556,259,1,6
155,Truck86559,250,1,6
156,Truck86557,261,1,6
157,Truck86554,285,1,6
158,Truck86558,266,1,6
159,Truck86555,284,1,6
160,Truck86561,256,1,6
161,Truck86563,250,1,6
162,Truck86564,247,1,6
163,Truck86560,269,1,6
164,Truck86565,253,1,6
165,Truck86567,246,1,6
166,Truck86568,242,1,6
167,Truck86562,281,1,6
168,Truck86569,260,1,6
169,Truck86566,280,1,6
170,Truck86571,256,1,6
171,Truck86575,249,1,6
172,Truck86570,287,1,6
173,Truck86573,272,1,6
174,Truck86572,279,1,6
175,Truck86576,266,1,6
176,Truck86574,278,1,6
177,Truck86578,263,1,6
178,Truck86577,270,1,6
179,Truck86580,259,1,6
180,Truck86579,274,1,6
181,Truck86586,254,1,6
182,Truck86584,269,1,6
183,Truck86582,280,1,6
184,Truck86581,289,1,6
185,Truck86587,259,1,6
186,Truck86583,280,1,6
187,Truck86585,271,1,6
188,Truck86589,256,1,6
189,Truck86588,272,1,6
190,Truck86591,257,1,6
191,Truck86590,268,1,6
192,Truck86593,259,1,6
193,Truck86595,251,1,6
194,Truck86592,276,1,6
195,Truck86596,261,1,6
196,Truck86601,251,1,6
197,Truck86594,288,1,6
198,Truck86597,283,1,6
199,Truck86603,253,1,6
200,Truck86598,283,1,6
201,Truck86599,279,1,6
202,Truck86600,283,1,6
203,Truck86609,249,1,6
204,Truck86602,287,1,6
205,Truck86608,258,1,6
206,Truck86604,284,1,6
207,Truck86607,269,1,6
208,Truck86612,244,1,6
209,Truck86605,284,1,6
210,Truck86610,259,1,6
211,Truck86606,285,1,6
212,Truck86617,248,1,6
213,Truck86613,273,1,6
214,Truck86611,286,1,6
215,Truck86614,272,1,6
216,Truck86615,276,1,6
217,Truck86618,262,1,6
218,Truck86620,254,1,6
219,Truck86619,267,1,6
220,Truck86616,290,1,6
221,Truck86623,272,1,6
222,Truck86622,280,1,6
223,Truck86621,288,1,6
224,Truck86625,272,1,6
225,Truck86627,268,1,6
226,Truck86630,258,1,6
227,Truck86624,290,1,6
228,Truck86626,282,1,6
229,Truck86631,264,1,6
230,Truck86629,282,1,6
231,Truck86628,289,1,6
232,Truck86634,262,1,6
233,Truck86637,260,1,6
234,Truck86632,286,1,6
235,Truck86635,272,1,6
236,Truck86633,284,1,6
237,Truck86639,262,1,6
238,Truck86640,259,1,6
239,Truck86636,283,1,6
240,Truck86638,292,1,6
241,Truck86646,256,1,6
242,Truck86641,282,1,6
243,Truck86642,280,1,6
244,Truck86644,272,1,6
245,Truck86649,247,1,6
246,Truck86647,260,1,6
247,Truck86648,255,1,6
248,Truck86643,291,1,6
249,Truck86645,281,1,6
250,Truck86655,244,1,6
251,Truck86651,271,1,6
252,Truck86653,261,1,6
253,Truck86650,280,1,6
254,Truck86659,244,1,6
255,Truck86652,281,1,6
256,Truck86657,261,1,6
257,Truck86662,244,1,6
258,Truck86654,285,1,6
259,Truck86656,285,1,6
260,Truck86663,254,1,6
261,Truck86665,247,1,6
262,Truck86658,283,1,6
263,Truck86666,243,1,6
264,Truck86661,277,1,6
265,Truck86660,287,1,6
266,Truck86668,247,1,6
267,Truck86667,255,1,6
268,Truck86664,283,1,6
269,Truck86670,274,1,6
270,Truck86675,257,1,6
271,Truck86676,253,1,6
272,Truck86669,293,1,6
273,Truck86678,252,1,6
274,Truck86672,284,1,6
275,Truck86671,290,1,6
276,Truck86680,248,1,6
277,Truck86673,287,1,6
278,Truck86674,282,1,6
279,Truck86677,274,1,6
