id,road,LRPName,length,chainage,lon,lat,model_type,name,condition
0,N1,LRPS,814.0,0.0,90.443333,23.7060278,sourcesink,Start of Road  after Jatrabari Flyover infront of filling station.,
1,N1,LRPSa,8.0,814.0,90.4504167,23.7029167,bridge,Box Culvert,A
2,N1,LRPSb,178.0,822.0,90.4504722,23.7027778,intersection,Intersection with Z1101,
3,N1,LRP001,1130.0,1000.0,90.4519722,23.7021389,link,Km post missing,
4,N1,LRP002a,870.0,2130.0,90.4616667,23.6973608,bridge,Box culvert,A
5,N1,LRP003,5010.999999999999,3000.0,90.4691382,23.693833,link,Km post missing,
6,N1,LRP008a,492.0000000000009,8010.999999999999,90.5157778,23.7021111,bridge,Kachpur bridge,A
7,N1,LRP009,1112.0,8503.0,90.5193327,23.7050278,link,"Chittagong 251 km,Comilla 84 km",
8,N1,LRP010a,348.0,9615.0,90.5281938,23.7015278,bridge,Box culvert,A
9,N1,LRP_inserted,0.0,0.0,90.5294577,23.700694300000002,link,inserted_link,NaN
10,N1,LRP010b,6.3,9963.0,90.5307216,23.6998608,bridge,Box culvert,A
11,N1,LRP_inserted,0.0,0.0,90.5322495,23.69863855,link,inserted_link,NaN
12,N1,LRP010c,6.3,10377.0,90.5337774,23.6974163,bridge,Box culvert,A
13,N1,LRP011,382.0,10503.0,90.5348052,23.6966386,link,Km post missing,
14,N1,LRP011a,8.3,10885.0,90.5376108,23.6943608,bridge,Box culvert,A
15,N1,LRP_inserted,0.0,0.0,90.539333,23.693319099999997,link,inserted_link,NaN
16,N1,LRP011b,184.0,11313.0,90.5410552,23.6922774,bridge,Box culvert,A
17,N1,LRP012,248.0,11497.0,90.5426108,23.6918052,link,"Chittagong 248 km,Comilla 81 km",
18,N1,LRP012a,9.3,11745.0,90.5448886,23.6911108,bridge,Bridge start,A
19,N1,LRP012c,736.0,11936.0,90.546583,23.6904163,link,Right to Syedpur (R113) left to Joydebpur N105),
20,N1,LRP013a,27.5,12672.0,90.5512778,23.6854997,bridge,Box culvert,A
21,N1,LRP014,1039.0,13524.0,90.5556111,23.678166,link,Km post missing,
