Road,Name,startLRP,startOffset,startChainage,endLRP,,endOffset,endChainage,(Km),HeavyTruck,MediumTruck,SmallTruck,LargeBus,MediumBus,MicroBus,Utility,Car,AutoRickshaw,MotorCycle,Bi-Cycle,CycleRickshaw,Cart,TotalMotorized,TotalNonMotorized,TotalAADT
N1-1L,Jatrabari-Int.withZ1101(Left)(Left),LRPS,0,0,LRPS,7391,822,0.822,0.822,402,5842,1147,2842,526,2010,238,1851,2980,398,232,889,0,18236,1121,19357
N1-1R,Jatrabari-Int.withZ1101(Left)(Right),LRPS,0,0,LRPS,8369,822,0.822,0.822,660,6155,1554,2744,971,2120,480,2608,2508,436,213,1088,0,20236,1301,21537
N1-2L,Int.withZ1101-Signboard(Left)R111(Left),LRPS,822,0.822,LRPS,8369,4175,4.175,3.353,660,6155,1554,2744,971,2120,480,2608,2508,436,213,1088,0,20236,1301,21537
N1-2R,Int.withZ1101-Signboard(Left)R111(Right),LRPS,822,0.822,LRPS,7391,4175,4.175,3.353,402,5842,1147,2842,526,2010,238,1851,2980,398,232,889,0,18236,1121,19357
N1-3L,Signboard-Shimrail(Left)R110(Left),LRPS,4175,4.175,LRPS,4981,7181,7.181,3.006,91,2706,2184,2534,1773,1643,314,1690,2266,1087,75,1198,0,16288,1273,17561
N1-3R,Signboard-Shimrail(Left)R110(Right),LRPS,4175,4.175,LRPS,4682,7181,7.181,3.006,85,2544,2053,2412,1688,1564,298,1609,2157,1035,72,1140,0,15445,1212,16657
N1-4L,Shimrail-Katchpur(Left)N2(Left),LRPS,7181,7.181,LRP009,4439,260,8.763,1.582,174,2905,1360,2576,1356,1415,320,1579,3154,1162,211,1077,0,16001,1288,17289
N1-4R,Shimrail-Katchpur(Left)N2(Right),LRPS,7181,7.181,LRP009,4674,260,8.763,1.582,153,2955,1566,2438,1456,1299,345,1948,2693,1143,517,1531,0,15996,2048,18044
N1-5L,Katchpur-Madanpur(Left)N105(Left),LRP009,260,8.763,LRP012,8617,439,11.936,3.173,174,4965,3478,3296,2791,1751,249,1579,3154,1154,211,1077,0,22591,1288,23879
N1-5R,Katchpur-Madanpur(Left)N105(Right),LRP009,260,8.763,LRP012,7793,439,11.936,3.173,153,4419,3221,2880,2408,2787,345,2105,3080,1143,517,1531,0,22541,2048,24589
N1-6L,Madanpur-Langalband(Left)Z1061(Left),LRP012,439,11.936,LRP013,7793,3411,15.935,3.999,153,4419,3221,2880,2408,2787,345,2105,3080,1143,517,1531,0,22541,2048,24589
